region,RRm_year_1.5C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
07337_Südliche Weinstraße,0.050215505,RRm,year,precipitation,mm day-1,7
07338_07311_07318_07314_08222_08226_08215_07334_07337_07313_07316_07332_07319_08221_08212_Region_um_Rhein-Pfalz-Kreis,0.05690824,RRm,year,precipitation,mm day-1,7
07338_Rhein-Pfalz-Kreis,0.06217669,RRm,year,precipitation,mm day-1,7
07339_Mainz-Bingen,0.064073615,RRm,year,precipitation,mm day-1,7
07340_Südwestpfalz,0.04792208,RRm,year,precipitation,mm day-1,7
08111_08115_08116_08118_08119_Region_um_Stuttgart,0.0700006,RRm,year,precipitation,mm day-1,7
08111_Stuttgart,0.07419687,RRm,year,precipitation,mm day-1,7
08115_Böblingen,0.06794583,RRm,year,precipitation,mm day-1,7
08116_Esslingen,0.07010326,RRm,year,precipitation,mm day-1,7
08117_Göppingen,0.067745514,RRm,year,precipitation,mm day-1,7
08118_Ludwigsburg,0.073955245,RRm,year,precipitation,mm day-1,7
08119_Rems-Murr-Kreis,0.06719614,RRm,year,precipitation,mm day-1,7
08121_08125_Region_um_Heilbronn,0.06365103,RRm,year,precipitation,mm day-1,7
08121_Heilbronn,0.06658199,RRm,year,precipitation,mm day-1,7
08125_Heilbronn,0.06336477,RRm,year,precipitation,mm day-1,7
08126_Hohenlohekreis,0.053453185,RRm,year,precipitation,mm day-1,7
08127_Schwäbisch Hall,0.055912543,RRm,year,precipitation,mm day-1,7
08128_Main-Tauber-Kreis,0.051142365,RRm,year,precipitation,mm day-1,7
08135_Heidenheim,0.07098026,RRm,year,precipitation,mm day-1,7
08136_Ostalbkreis,0.060391113,RRm,year,precipitation,mm day-1,7
08211_08216_Region_um_Baden-Baden,0.041599784,RRm,year,precipitation,mm day-1,7
08211_Baden-Baden,0.039340124,RRm,year,precipitation,mm day-1,7
08212_08215_07334_Region_um_Karlsruhe,0.05629103,RRm,year,precipitation,mm day-1,7
08212_Karlsruhe,0.053684317,RRm,year,precipitation,mm day-1,7
08215_Karlsruhe,0.05736607,RRm,year,precipitation,mm day-1,7
08216_Rastatt,0.042022243,RRm,year,precipitation,mm day-1,7
08221_08226_08222_Region_um_Heidelberg,0.05929102,RRm,year,precipitation,mm day-1,7
08221_Heidelberg,0.060006365,RRm,year,precipitation,mm day-1,7
08222_08221_08226_06431_07338_07311_07318_07314_Region_um_Mannheim,0.05890889,RRm,year,precipitation,mm day-1,7
08222_Mannheim,0.06841331,RRm,year,precipitation,mm day-1,7
08225_Neckar-Odenwald-Kreis,0.047745813,RRm,year,precipitation,mm day-1,7
08226_Rhein-Neckar-Kreis,0.057939187,RRm,year,precipitation,mm day-1,7
08231_08236_08235_Region_um_Pforzheim,0.05528906,RRm,year,precipitation,mm day-1,7
08231_Pforzheim,0.057061423,RRm,year,precipitation,mm day-1,7
08235_Calw,0.052742984,RRm,year,precipitation,mm day-1,7
08236_Enzkreis,0.05850398,RRm,year,precipitation,mm day-1,7
08237_Freudenstadt,0.05517425,RRm,year,precipitation,mm day-1,7
08311_08316_08315_Region_um_Freiburg_im_Breisgau,0.0757248,RRm,year,precipitation,mm day-1,7
08311_Freiburg im Breisgau,0.078242116,RRm,year,precipitation,mm day-1,7
08315_Breisgau-Hochschwarzwald,0.075282216,RRm,year,precipitation,mm day-1,7
08316_Emmendingen,0.07602972,RRm,year,precipitation,mm day-1,7
08317_Ortenaukreis,0.07194786,RRm,year,precipitation,mm day-1,7
08325_Rottweil,0.064978704,RRm,year,precipitation,mm day-1,7
08326_Schwarzwald-Baar-Kreis,0.06960987,RRm,year,precipitation,mm day-1,7
08327_Tuttlingen,0.08249276,RRm,year,precipitation,mm day-1,7
08335_Konstanz,0.09445251,RRm,year,precipitation,mm day-1,7
08336_Lörrach,0.07958076,RRm,year,precipitation,mm day-1,7
08337_Waldshut,0.09020038,RRm,year,precipitation,mm day-1,7
08415_Reutlingen,0.0737862,RRm,year,precipitation,mm day-1,7
08416_Tübingen,0.07093808,RRm,year,precipitation,mm day-1,7
08417_Zollernalbkreis,0.07136953,RRm,year,precipitation,mm day-1,7
08421_08425_09775_Region_um_Ulm,0.08000506,RRm,year,precipitation,mm day-1,7
08421_Ulm,0.07827403,RRm,year,precipitation,mm day-1,7
08425_Alb-Donau-Kreis,0.07903622,RRm,year,precipitation,mm day-1,7
08426_Biberach,0.08582184,RRm,year,precipitation,mm day-1,7
08435_Bodenseekreis,0.16278149,RRm,year,precipitation,mm day-1,7
08436_Ravensburg,0.10069642,RRm,year,precipitation,mm day-1,7
08437_Sigmaringen,0.08374659,RRm,year,precipitation,mm day-1,7
09161_09176_09185_09186_Region_um_Ingolstadt,0.07250931,RRm,year,precipitation,mm day-1,7
09161_Ingolstadt,0.07503426,RRm,year,precipitation,mm day-1,7
09162_09184_09179_09174_Region_um_München,0.09149111,RRm,year,precipitation,mm day-1,7
09162_München,0.09384544,RRm,year,precipitation,mm day-1,7
09163_09187_Region_um_Rosenheim,0.10782094,RRm,year,precipitation,mm day-1,7
09163_Rosenheim,0.11645708,RRm,year,precipitation,mm day-1,7
09171_Altötting,0.072916485,RRm,year,precipitation,mm day-1,7
09172_Berchtesgadener Land,0.10493618,RRm,year,precipitation,mm day-1,7
09173_Bad Tölz-Wolfratshausen,0.110904925,RRm,year,precipitation,mm day-1,7
09174_Dachau,0.082669735,RRm,year,precipitation,mm day-1,7
09175_Ebersberg,0.09299369,RRm,year,precipitation,mm day-1,7
09176_Eichstätt,0.06903718,RRm,year,precipitation,mm day-1,7
09177_Erding,0.07925815,RRm,year,precipitation,mm day-1,7
09178_Freising,0.08088603,RRm,year,precipitation,mm day-1,7
09179_Fürstenfeldbruck,0.097423,RRm,year,precipitation,mm day-1,7
09180_Garmisch-Partenkirchen,0.12749207,RRm,year,precipitation,mm day-1,7
09181_Landsberg am Lech,0.09787939,RRm,year,precipitation,mm day-1,7
09182_Miesbach,0.11483597,RRm,year,precipitation,mm day-1,7
09183_Mühldorf a. Inn,0.07299975,RRm,year,precipitation,mm day-1,7
09184_München,0.09422082,RRm,year,precipitation,mm day-1,7
09185_Neuburg-Schrobenhausen,0.07395316,RRm,year,precipitation,mm day-1,7
09186_Pfaffenhofen a.d. Ilm,0.07619925,RRm,year,precipitation,mm day-1,7
09187_Rosenheim,0.1075815,RRm,year,precipitation,mm day-1,7
09188_Starnberg,0.12851787,RRm,year,precipitation,mm day-1,7
09189_Traunstein,0.100932404,RRm,year,precipitation,mm day-1,7
09190_Weilheim-Schongau,0.11266198,RRm,year,precipitation,mm day-1,7
09261_09274_Region_um_Landshut,0.07074101,RRm,year,precipitation,mm day-1,7
09261_Landshut,0.069535434,RRm,year,precipitation,mm day-1,7
09262_09275_Region_um_Passau,0.057493303,RRm,year,precipitation,mm day-1,7
09262_Passau,0.05456649,RRm,year,precipitation,mm day-1,7
09263_09278_Region_um_Straubing,0.062040918,RRm,year,precipitation,mm day-1,7
09263_Straubing,0.06443427,RRm,year,precipitation,mm day-1,7
09271_Deggendorf,0.053876434,RRm,year,precipitation,mm day-1,7
09272_Freyung-Grafenau,0.03794451,RRm,year,precipitation,mm day-1,7
09273_Kelheim,0.06912268,RRm,year,precipitation,mm day-1,7
09274_Landshut,0.07080562,RRm,year,precipitation,mm day-1,7
09275_Passau,0.057629034,RRm,year,precipitation,mm day-1,7
09276_Regen,0.04011131,RRm,year,precipitation,mm day-1,7
09277_Rottal-Inn,0.06744741,RRm,year,precipitation,mm day-1,7
09278_Straubing-Bogen,0.061899588,RRm,year,precipitation,mm day-1,7
09279_Dingolfing-Landau,0.06696301,RRm,year,precipitation,mm day-1,7
09361_09371_Region_um_Amberg,0.052041743,RRm,year,precipitation,mm day-1,7
09361_Amberg,0.05339557,RRm,year,precipitation,mm day-1,7
09362_09375_Region_um_Regensburg,0.06474346,RRm,year,precipitation,mm day-1,7
09362_Regensburg,0.06596331,RRm,year,precipitation,mm day-1,7
09363_09374_Region_um_Weiden_in_der_Oberpfalz,0.046748318,RRm,year,precipitation,mm day-1,7
09363_Weiden i.d. OPf.,0.048343033,RRm,year,precipitation,mm day-1,7
09371_Amberg-Sulzbach,0.051985238,RRm,year,precipitation,mm day-1,7
09372_Cham,0.05149927,RRm,year,precipitation,mm day-1,7
09373_Neumarkt i.d. OPf.,0.05563806,RRm,year,precipitation,mm day-1,7
09374_Neustadt a.d. Waldnaab,0.046667144,RRm,year,precipitation,mm day-1,7
09375_Regensburg,0.06466678,RRm,year,precipitation,mm day-1,7
09376_Schwandorf,0.055229608,RRm,year,precipitation,mm day-1,7
09377_Tirschenreuth,0.04513602,RRm,year,precipitation,mm day-1,7
09461_09471_Region_um_Bamberg,0.057416476,RRm,year,precipitation,mm day-1,7
09461_Bamberg,0.060474254,RRm,year,precipitation,mm day-1,7
09462_09472_Region_um_Bayreuth,0.045553938,RRm,year,precipitation,mm day-1,7
09462_Bayreuth,0.05068731,RRm,year,precipitation,mm day-1,7
09463_09473_Region_um_Coburg,0.05460008,RRm,year,precipitation,mm day-1,7
09463_Coburg,0.056166504,RRm,year,precipitation,mm day-1,7
