region,RRm_year_1.5C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
08435_Bodenseekreis,0.15107226371765137,RRm,year,precipitation,mm day-1,7
08436_Ravensburg,0.08611536026000977,RRm,year,precipitation,mm day-1,7
08437_Sigmaringen,0.0729513168334961,RRm,year,precipitation,mm day-1,7
09161_09176_09185_09186_Region_um_Ingolstadt,0.08786320686340332,RRm,year,precipitation,mm day-1,7
09161_Ingolstadt,0.08522236347198486,RRm,year,precipitation,mm day-1,7
09162_09184_09179_09174_Region_um_München,0.09447002410888672,RRm,year,precipitation,mm day-1,7
09162_München,0.08860325813293457,RRm,year,precipitation,mm day-1,7
09163_09187_Region_um_Rosenheim,0.09686851501464844,RRm,year,precipitation,mm day-1,7
09163_Rosenheim,0.11133050918579102,RRm,year,precipitation,mm day-1,7
09171_Altötting,0.045743703842163086,RRm,year,precipitation,mm day-1,7
09172_Berchtesgadener Land,0.09368658065795898,RRm,year,precipitation,mm day-1,7
09173_Bad Tölz-Wolfratshausen,0.09429669380187988,RRm,year,precipitation,mm day-1,7
09174_Dachau,0.09415817260742188,RRm,year,precipitation,mm day-1,7
09175_Ebersberg,0.08155155181884766,RRm,year,precipitation,mm day-1,7
09176_Eichstätt,0.08159470558166504,RRm,year,precipitation,mm day-1,7
09177_Erding,0.07452750205993652,RRm,year,precipitation,mm day-1,7
09178_Freising,0.09197235107421875,RRm,year,precipitation,mm day-1,7
09179_Fürstenfeldbruck,0.10370945930480957,RRm,year,precipitation,mm day-1,7
09180_Garmisch-Partenkirchen,0.11270570755004883,RRm,year,precipitation,mm day-1,7
09181_Landsberg am Lech,0.09846687316894531,RRm,year,precipitation,mm day-1,7
09182_Miesbach,0.09363603591918945,RRm,year,precipitation,mm day-1,7
09183_Mühldorf a. Inn,0.05883979797363281,RRm,year,precipitation,mm day-1,7
09184_München,0.09041523933410645,RRm,year,precipitation,mm day-1,7
09185_Neuburg-Schrobenhausen,0.07537388801574707,RRm,year,precipitation,mm day-1,7
09186_Pfaffenhofen a.d. Ilm,0.0882866382598877,RRm,year,precipitation,mm day-1,7
09187_Rosenheim,0.09669113159179688,RRm,year,precipitation,mm day-1,7
09188_Starnberg,0.11233377456665039,RRm,year,precipitation,mm day-1,7
09189_Traunstein,0.10128593444824219,RRm,year,precipitation,mm day-1,7
09190_Weilheim-Schongau,0.09031343460083008,RRm,year,precipitation,mm day-1,7
09261_09274_Region_um_Landshut,0.08401131629943848,RRm,year,precipitation,mm day-1,7
09261_Landshut,0.09117507934570312,RRm,year,precipitation,mm day-1,7
09262_09275_Region_um_Passau,0.026421308517456055,RRm,year,precipitation,mm day-1,7
09262_Passau,0.02497577667236328,RRm,year,precipitation,mm day-1,7
09263_09278_Region_um_Straubing,0.052466630935668945,RRm,year,precipitation,mm day-1,7
09263_Straubing,0.06423115730285645,RRm,year,precipitation,mm day-1,7
09271_Deggendorf,0.036948442459106445,RRm,year,precipitation,mm day-1,7
09272_Freyung-Grafenau,0.020690202713012695,RRm,year,precipitation,mm day-1,7
09273_Kelheim,0.08633303642272949,RRm,year,precipitation,mm day-1,7
