region,RRm_year_4C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
08221_Heidelberg,-0.36461734771728516,RRm,year,precipitation,mm day-1,7
08222_08221_08226_06431_07338_07311_07318_07314_Region_um_Mannheim,-0.1948845386505127,RRm,year,precipitation,mm day-1,7
08222_Mannheim,-0.22742056846618652,RRm,year,precipitation,mm day-1,7
08225_Neckar-Odenwald-Kreis,-0.25295114517211914,RRm,year,precipitation,mm day-1,7
08226_Rhein-Neckar-Kreis,-0.2567727565765381,RRm,year,precipitation,mm day-1,7
08231_08236_08235_Region_um_Pforzheim,-0.23889803886413574,RRm,year,precipitation,mm day-1,7
08231_Pforzheim,-0.24155807495117188,RRm,year,precipitation,mm day-1,7
08235_Calw,-0.25292015075683594,RRm,year,precipitation,mm day-1,7
08236_Enzkreis,-0.21890926361083984,RRm,year,precipitation,mm day-1,7
08237_Freudenstadt,-0.38909101486206055,RRm,year,precipitation,mm day-1,7
08311_08316_08315_Region_um_Freiburg_im_Breisgau,-0.4057021141052246,RRm,year,precipitation,mm day-1,7
08311_Freiburg im Breisgau,-0.6048390865325928,RRm,year,precipitation,mm day-1,7
08315_Breisgau-Hochschwarzwald,-0.43733739852905273,RRm,year,precipitation,mm day-1,7
08316_Emmendingen,-0.4581618309020996,RRm,year,precipitation,mm day-1,7
08317_Ortenaukreis,-0.4190654754638672,RRm,year,precipitation,mm day-1,7
08325_Rottweil,-0.22389435768127441,RRm,year,precipitation,mm day-1,7
08326_Schwarzwald-Baar-Kreis,-0.2299642562866211,RRm,year,precipitation,mm day-1,7
08327_Tuttlingen,-0.25195837020874023,RRm,year,precipitation,mm day-1,7
08335_Konstanz,-0.2704782485961914,RRm,year,precipitation,mm day-1,7
08336_Lörrach,-0.6734766960144043,RRm,year,precipitation,mm day-1,7
08337_Waldshut,-0.23409819602966309,RRm,year,precipitation,mm day-1,7
08415_Reutlingen,-0.1990189552307129,RRm,year,precipitation,mm day-1,7
08416_Tübingen,-0.21834325790405273,RRm,year,precipitation,mm day-1,7
08417_Zollernalbkreis,-0.28034162521362305,RRm,year,precipitation,mm day-1,7
08421_08425_09775_Region_um_Ulm,-0.17532587051391602,RRm,year,precipitation,mm day-1,7
08421_Ulm,-0.17676997184753418,RRm,year,precipitation,mm day-1,7
08425_Alb-Donau-Kreis,-0.1574389934539795,RRm,year,precipitation,mm day-1,7
08426_Biberach,-0.2687852382659912,RRm,year,precipitation,mm day-1,7
08435_Bodenseekreis,-0.2832915782928467,RRm,year,precipitation,mm day-1,7
08436_Ravensburg,-0.33366870880126953,RRm,year,precipitation,mm day-1,7
08437_Sigmaringen,-0.22433781623840332,RRm,year,precipitation,mm day-1,7
09161_09176_09185_09186_Region_um_Ingolstadt,-0.0694204568862915,RRm,year,precipitation,mm day-1,7
09161_Ingolstadt,-0.08251047134399414,RRm,year,precipitation,mm day-1,7
09162_09184_09179_09174_Region_um_München,-0.1681382656097412,RRm,year,precipitation,mm day-1,7
09162_München,-0.16228771209716797,RRm,year,precipitation,mm day-1,7
09163_09187_Region_um_Rosenheim,-0.32219719886779785,RRm,year,precipitation,mm day-1,7
09163_Rosenheim,-0.36157703399658203,RRm,year,precipitation,mm day-1,7
09171_Altötting,-0.11740684509277344,RRm,year,precipitation,mm day-1,7
09172_Berchtesgadener Land,-0.33615779876708984,RRm,year,precipitation,mm day-1,7
09173_Bad Tölz-Wolfratshausen,-0.44643497467041016,RRm,year,precipitation,mm day-1,7
09174_Dachau,-0.1210641860961914,RRm,year,precipitation,mm day-1,7
09175_Ebersberg,-0.1844031810760498,RRm,year,precipitation,mm day-1,7
09176_Eichstätt,-0.05859065055847168,RRm,year,precipitation,mm day-1,7
09177_Erding,-0.10721421241760254,RRm,year,precipitation,mm day-1,7
09178_Freising,-0.06981778144836426,RRm,year,precipitation,mm day-1,7
09179_Fürstenfeldbruck,-0.18012785911560059,RRm,year,precipitation,mm day-1,7
09180_Garmisch-Partenkirchen,-0.5773143768310547,RRm,year,precipitation,mm day-1,7
09181_Landsberg am Lech,-0.30834484100341797,RRm,year,precipitation,mm day-1,7
09182_Miesbach,-0.3334994316101074,RRm,year,precipitation,mm day-1,7
09183_Mühldorf a. Inn,-0.12143087387084961,RRm,year,precipitation,mm day-1,7
09184_München,-0.20475387573242188,RRm,year,precipitation,mm day-1,7
09185_Neuburg-Schrobenhausen,-0.07655692100524902,RRm,year,precipitation,mm day-1,7
09186_Pfaffenhofen a.d. Ilm,-0.07745671272277832,RRm,year,precipitation,mm day-1,7
09187_Rosenheim,-0.3211054801940918,RRm,year,precipitation,mm day-1,7
09188_Starnberg,-0.2712416648864746,RRm,year,precipitation,mm day-1,7
09189_Traunstein,-0.3074018955230713,RRm,year,precipitation,mm day-1,7
09190_Weilheim-Schongau,-0.5163333415985107,RRm,year,precipitation,mm day-1,7
09261_09274_Region_um_Landshut,-0.060486555099487305,RRm,year,precipitation,mm day-1,7
