region,ci_name,ci_frequency,standard_name,units,mid_month,RRm_year_1.5C_rcp85_ensemble-robustness
09377_Tirschenreuth,RRm,year,precipitation,mm day-1,7,1.0
09461_09471_Region_um_Bamberg,RRm,year,precipitation,mm day-1,7,1.0
09461_Bamberg,RRm,year,precipitation,mm day-1,7,1.0
09462_09472_Region_um_Bayreuth,RRm,year,precipitation,mm day-1,7,
09462_Bayreuth,RRm,year,precipitation,mm day-1,7,
09463_09473_Region_um_Coburg,RRm,year,precipitation,mm day-1,7,1.0
09463_Coburg,RRm,year,precipitation,mm day-1,7,1.0
09464_09475_Region_um_Hof,RRm,year,precipitation,mm day-1,7,
09464_Hof,RRm,year,precipitation,mm day-1,7,1.0
09471_Bamberg,RRm,year,precipitation,mm day-1,7,1.0
09472_Bayreuth,RRm,year,precipitation,mm day-1,7,
09473_Coburg,RRm,year,precipitation,mm day-1,7,1.0
09474_Forchheim,RRm,year,precipitation,mm day-1,7,1.0
09475_Hof,RRm,year,precipitation,mm day-1,7,
09476_Kronach,RRm,year,precipitation,mm day-1,7,
09477_Kulmbach,RRm,year,precipitation,mm day-1,7,
09478_Lichtenfels,RRm,year,precipitation,mm day-1,7,1.0
09479_Wunsiedel i. Fichtelgebirge,RRm,year,precipitation,mm day-1,7,
09561_09571_Region_um_Ansbach,RRm,year,precipitation,mm day-1,7,1.0
09561_Ansbach,RRm,year,precipitation,mm day-1,7,1.0
09562_09572_09564_09563_Region_um_Erlangen,RRm,year,precipitation,mm day-1,7,1.0
09562_Erlangen,RRm,year,precipitation,mm day-1,7,1.0
09563_09573_09562_09564_Region_um_Fürth,RRm,year,precipitation,mm day-1,7,1.0
09563_Fürth,RRm,year,precipitation,mm day-1,7,1.0
09564_09563_09574_09565_09573_09572_09576_09562_Region_um_Nürnberg,RRm,year,precipitation,mm day-1,7,1.0
09564_Nürnberg,RRm,year,precipitation,mm day-1,7,1.0
09565_09576_09564_Region_um_Schwabach,RRm,year,precipitation,mm day-1,7,1.0
09565_Schwabach,RRm,year,precipitation,mm day-1,7,1.0
09571_Ansbach,RRm,year,precipitation,mm day-1,7,1.0
09572_Erlangen-Höchstadt,RRm,year,precipitation,mm day-1,7,1.0
09573_09572_09562_09563_09574_09565_09576_09561_09571_09575_09564_Region_um_Fürth,RRm,year,precipitation,mm day-1,7,1.0
09573_Fürth,RRm,year,precipitation,mm day-1,7,1.0
09574_Nürnberger Land,RRm,year,precipitation,mm day-1,7,1.0
09575_Neustadt a.d. Aisch-Bad Windsheim,RRm,year,precipitation,mm day-1,7,1.0
