region,RRm_year_2C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
08437_Sigmaringen,0.1719664,RRm,year,precipitation,mm day-1,7
09161_09176_09185_09186_Region_um_Ingolstadt,0.16104849,RRm,year,precipitation,mm day-1,7
09161_Ingolstadt,0.16216359,RRm,year,precipitation,mm day-1,7
09162_09184_09179_09174_Region_um_München,0.19581085,RRm,year,precipitation,mm day-1,7
09162_München,0.20256934,RRm,year,precipitation,mm day-1,7
09163_09187_Region_um_Rosenheim,0.2477382,RRm,year,precipitation,mm day-1,7
09163_Rosenheim,0.25731546,RRm,year,precipitation,mm day-1,7
09171_Altötting,0.1856632,RRm,year,precipitation,mm day-1,7
09172_Berchtesgadener Land,0.2946968,RRm,year,precipitation,mm day-1,7
09173_Bad Tölz-Wolfratshausen,0.2658411,RRm,year,precipitation,mm day-1,7
09174_Dachau,0.17862006,RRm,year,precipitation,mm day-1,7
09175_Ebersberg,0.20299119,RRm,year,precipitation,mm day-1,7
09176_Eichstätt,0.15472905,RRm,year,precipitation,mm day-1,7
09177_Erding,0.18465276,RRm,year,precipitation,mm day-1,7
09178_Freising,0.1781882,RRm,year,precipitation,mm day-1,7
09179_Fürstenfeldbruck,0.20007353,RRm,year,precipitation,mm day-1,7
09180_Garmisch-Partenkirchen,0.2733616,RRm,year,precipitation,mm day-1,7
09181_Landsberg am Lech,0.19942738,RRm,year,precipitation,mm day-1,7
09182_Miesbach,0.26391283,RRm,year,precipitation,mm day-1,7
09183_Mühldorf a. Inn,0.18225992,RRm,year,precipitation,mm day-1,7
09184_München,0.20489661,RRm,year,precipitation,mm day-1,7
09185_Neuburg-Schrobenhausen,0.16223739,RRm,year,precipitation,mm day-1,7
09186_Pfaffenhofen a.d. Ilm,0.1697784,RRm,year,precipitation,mm day-1,7
09187_Rosenheim,0.24747267,RRm,year,precipitation,mm day-1,7
09188_Starnberg,0.24927063,RRm,year,precipitation,mm day-1,7
09189_Traunstein,0.2583262,RRm,year,precipitation,mm day-1,7
09190_Weilheim-Schongau,0.2303251,RRm,year,precipitation,mm day-1,7
09261_09274_Region_um_Landshut,0.16802818,RRm,year,precipitation,mm day-1,7
09261_Landshut,0.16698474,RRm,year,precipitation,mm day-1,7
09262_09275_Region_um_Passau,0.1773679,RRm,year,precipitation,mm day-1,7
09262_Passau,0.1790523,RRm,year,precipitation,mm day-1,7
09263_09278_Region_um_Straubing,0.16972254,RRm,year,precipitation,mm day-1,7
09263_Straubing,0.16608228,RRm,year,precipitation,mm day-1,7
09271_Deggendorf,0.17676334,RRm,year,precipitation,mm day-1,7
09272_Freyung-Grafenau,0.18549414,RRm,year,precipitation,mm day-1,7
09273_Kelheim,0.15640882,RRm,year,precipitation,mm day-1,7
09274_Landshut,0.168084,RRm,year,precipitation,mm day-1,7
09275_Passau,0.1772898,RRm,year,precipitation,mm day-1,7
09276_Regen,0.19699603,RRm,year,precipitation,mm day-1,7
09277_Rottal-Inn,0.17268638,RRm,year,precipitation,mm day-1,7
09278_Straubing-Bogen,0.16993764,RRm,year,precipitation,mm day-1,7
09279_Dingolfing-Landau,0.16516864,RRm,year,precipitation,mm day-1,7
09361_09371_Region_um_Amberg,0.14048761,RRm,year,precipitation,mm day-1,7
09361_Amberg,0.13723853,RRm,year,precipitation,mm day-1,7
09362_09375_Region_um_Regensburg,0.15364961,RRm,year,precipitation,mm day-1,7
09362_Regensburg,0.15700378,RRm,year,precipitation,mm day-1,7
09363_09374_Region_um_Weiden_in_der_Oberpfalz,0.14187932,RRm,year,precipitation,mm day-1,7
09363_Weiden i.d. OPf.,0.14835587,RRm,year,precipitation,mm day-1,7
09371_Amberg-Sulzbach,0.14062326,RRm,year,precipitation,mm day-1,7
09372_Cham,0.16314915,RRm,year,precipitation,mm day-1,7
09373_Neumarkt i.d. OPf.,0.14862004,RRm,year,precipitation,mm day-1,7
09374_Neustadt a.d. Waldnaab,0.14154963,RRm,year,precipitation,mm day-1,7
09375_Regensburg,0.1534387,RRm,year,precipitation,mm day-1,7
09376_Schwandorf,0.14792854,RRm,year,precipitation,mm day-1,7
09377_Tirschenreuth,0.13552946,RRm,year,precipitation,mm day-1,7
09461_09471_Region_um_Bamberg,0.14777307,RRm,year,precipitation,mm day-1,7
09461_Bamberg,0.15622136,RRm,year,precipitation,mm day-1,7
09462_09472_Region_um_Bayreuth,0.14516409,RRm,year,precipitation,mm day-1,7
09462_Bayreuth,0.14874735,RRm,year,precipitation,mm day-1,7
09463_09473_Region_um_Coburg,0.14297354,RRm,year,precipitation,mm day-1,7
09463_Coburg,0.14053209,RRm,year,precipitation,mm day-1,7
