region,HSf3_year_2C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
08121_Heilbronn,2.844283103942871,HSf3,year,hot_spell_frequency,,7
08125_Heilbronn,2.688892364501953,HSf3,year,hot_spell_frequency,,7
08126_Hohenlohekreis,2.373999834060669,HSf3,year,hot_spell_frequency,,7
08127_Schwäbisch Hall,2.143279552459717,HSf3,year,hot_spell_frequency,,7
08128_Main-Tauber-Kreis,2.380424737930298,HSf3,year,hot_spell_frequency,,7
08135_Heidenheim,1.8869397640228271,HSf3,year,hot_spell_frequency,,7
08136_Ostalbkreis,2.003270387649536,HSf3,year,hot_spell_frequency,,7
08211_08216_Region_um_Baden-Baden,2.2591583728790283,HSf3,year,hot_spell_frequency,,7
08211_Baden-Baden,2.2474911212921143,HSf3,year,hot_spell_frequency,,7
08212_08215_07334_Region_um_Karlsruhe,3.0386180877685547,HSf3,year,hot_spell_frequency,,7
08212_Karlsruhe,3.306891441345215,HSf3,year,hot_spell_frequency,,7
08215_Karlsruhe,2.8740944862365723,HSf3,year,hot_spell_frequency,,7
08216_Rastatt,2.261338949203491,HSf3,year,hot_spell_frequency,,7
08221_08226_08222_Region_um_Heidelberg,2.6965227127075195,HSf3,year,hot_spell_frequency,,7
08221_Heidelberg,2.6736979484558105,HSf3,year,hot_spell_frequency,,7
08222_08221_08226_06431_07338_07311_07318_07314_Region_um_Mannheim,2.7327396869659424,HSf3,year,hot_spell_frequency,,7
08222_Mannheim,3.1978564262390137,HSf3,year,hot_spell_frequency,,7
08225_Neckar-Odenwald-Kreis,2.300703525543213,HSf3,year,hot_spell_frequency,,7
08226_Rhein-Neckar-Kreis,2.65451717376709,HSf3,year,hot_spell_frequency,,7
08231_08236_08235_Region_um_Pforzheim,1.7730915546417236,HSf3,year,hot_spell_frequency,,7
08231_Pforzheim,2.302969455718994,HSf3,year,hot_spell_frequency,,7
08235_Calw,1.3857154846191406,HSf3,year,hot_spell_frequency,,7
08236_Enzkreis,2.2599949836730957,HSf3,year,hot_spell_frequency,,7
08237_Freudenstadt,1.4382438659667969,HSf3,year,hot_spell_frequency,,7
08311_08316_08315_Region_um_Freiburg_im_Breisgau,1.8440089225769043,HSf3,year,hot_spell_frequency,,7
08311_Freiburg im Breisgau,2.691554069519043,HSf3,year,hot_spell_frequency,,7
08315_Breisgau-Hochschwarzwald,1.5015487670898438,HSf3,year,hot_spell_frequency,,7
08316_Emmendingen,2.387162685394287,HSf3,year,hot_spell_frequency,,7
08317_Ortenaukreis,2.323453903198242,HSf3,year,hot_spell_frequency,,7
08325_Rottweil,1.4935619831085205,HSf3,year,hot_spell_frequency,,7
08326_Schwarzwald-Baar-Kreis,1.2643969058990479,HSf3,year,hot_spell_frequency,,7
08327_Tuttlingen,1.4824333190917969,HSf3,year,hot_spell_frequency,,7
08335_Konstanz,2.3348677158355713,HSf3,year,hot_spell_frequency,,7
08336_Lörrach,1.9479572772979736,HSf3,year,hot_spell_frequency,,7
08337_Waldshut,1.943634033203125,HSf3,year,hot_spell_frequency,,7
08415_Reutlingen,1.4180138111114502,HSf3,year,hot_spell_frequency,,7
08416_Tübingen,2.0830461978912354,HSf3,year,hot_spell_frequency,,7
08417_Zollernalbkreis,1.3733034133911133,HSf3,year,hot_spell_frequency,,7
08421_08425_09775_Region_um_Ulm,1.7858210802078247,HSf3,year,hot_spell_frequency,,7
08421_Ulm,2.0641543865203857,HSf3,year,hot_spell_frequency,,7
08425_Alb-Donau-Kreis,1.6260981559753418,HSf3,year,hot_spell_frequency,,7
08426_Biberach,1.9354631900787354,HSf3,year,hot_spell_frequency,,7
