region,ci_name,ci_frequency,standard_name,units,mid_month,HSf3_year_2C_rcp85_ensemble-robustness
08212_08215_07334_Region_um_Karlsruhe,HSf3,year,hot_spell_frequency,,7,2
08212_Karlsruhe,HSf3,year,hot_spell_frequency,,7,2
08215_Karlsruhe,HSf3,year,hot_spell_frequency,,7,2
08216_Rastatt,HSf3,year,hot_spell_frequency,,7,2
08221_08226_08222_Region_um_Heidelberg,HSf3,year,hot_spell_frequency,,7,2
08221_Heidelberg,HSf3,year,hot_spell_frequency,,7,2
08222_08221_08226_06431_07338_07311_07318_07314_Region_um_Mannheim,HSf3,year,hot_spell_frequency,,7,2
08222_Mannheim,HSf3,year,hot_spell_frequency,,7,2
08225_Neckar-Odenwald-Kreis,HSf3,year,hot_spell_frequency,,7,2
08226_Rhein-Neckar-Kreis,HSf3,year,hot_spell_frequency,,7,2
08231_08236_08235_Region_um_Pforzheim,HSf3,year,hot_spell_frequency,,7,2
08231_Pforzheim,HSf3,year,hot_spell_frequency,,7,2
08235_Calw,HSf3,year,hot_spell_frequency,,7,2
08236_Enzkreis,HSf3,year,hot_spell_frequency,,7,2
08237_Freudenstadt,HSf3,year,hot_spell_frequency,,7,2
08311_08316_08315_Region_um_Freiburg_im_Breisgau,HSf3,year,hot_spell_frequency,,7,2
08311_Freiburg im Breisgau,HSf3,year,hot_spell_frequency,,7,2
08315_Breisgau-Hochschwarzwald,HSf3,year,hot_spell_frequency,,7,2
08316_Emmendingen,HSf3,year,hot_spell_frequency,,7,2
08317_Ortenaukreis,HSf3,year,hot_spell_frequency,,7,2
08325_Rottweil,HSf3,year,hot_spell_frequency,,7,2
08326_Schwarzwald-Baar-Kreis,HSf3,year,hot_spell_frequency,,7,2
08327_Tuttlingen,HSf3,year,hot_spell_frequency,,7,2
08335_Konstanz,HSf3,year,hot_spell_frequency,,7,2
08336_Lörrach,HSf3,year,hot_spell_frequency,,7,2
08337_Waldshut,HSf3,year,hot_spell_frequency,,7,2
08415_Reutlingen,HSf3,year,hot_spell_frequency,,7,2
08416_Tübingen,HSf3,year,hot_spell_frequency,,7,2
08417_Zollernalbkreis,HSf3,year,hot_spell_frequency,,7,2
08421_08425_09775_Region_um_Ulm,HSf3,year,hot_spell_frequency,,7,2
08421_Ulm,HSf3,year,hot_spell_frequency,,7,2
08425_Alb-Donau-Kreis,HSf3,year,hot_spell_frequency,,7,2
08426_Biberach,HSf3,year,hot_spell_frequency,,7,2
