region,HSf3_year_1.5C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
07319_07331_07332_06431_07338_07311_07318_07314_Region_um_Worms,0.474879652261734,HSf3,year,hot_spell_frequency,,7
07319_Worms,0.5928729772567749,HSf3,year,hot_spell_frequency,,7
07320_07340_10045_07317_Region_um_Zweibrücken,0.40343624353408813,HSf3,year,hot_spell_frequency,,7
07320_Zweibrücken,0.30000001192092896,HSf3,year,hot_spell_frequency,,7
07331_Alzey-Worms,0.4919716715812683,HSf3,year,hot_spell_frequency,,7
07332_Bad Dürkheim,0.47564584016799927,HSf3,year,hot_spell_frequency,,7
07333_Donnersbergkreis,0.4350476562976837,HSf3,year,hot_spell_frequency,,7
07334_Germersheim,0.6500309705734253,HSf3,year,hot_spell_frequency,,7
07335_Kaiserslautern,0.3395109474658966,HSf3,year,hot_spell_frequency,,7
07336_Kusel,0.3142213225364685,HSf3,year,hot_spell_frequency,,7
07337_Südliche Weinstraße,0.557650089263916,HSf3,year,hot_spell_frequency,,7
07338_07311_07318_07314_08222_08226_08215_07334_07337_07313_07316_07332_07319_08221_08212_Region_um_Rhein-Pfalz-Kreis,0.5469536185264587,HSf3,year,hot_spell_frequency,,7
07338_Rhein-Pfalz-Kreis,0.6425414085388184,HSf3,year,hot_spell_frequency,,7
07339_Mainz-Bingen,0.47461801767349243,HSf3,year,hot_spell_frequency,,7
07340_Südwestpfalz,0.3826941251754761,HSf3,year,hot_spell_frequency,,7
08111_08115_08116_08118_08119_Region_um_Stuttgart,0.5030262470245361,HSf3,year,hot_spell_frequency,,7
08111_Stuttgart,0.5581842660903931,HSf3,year,hot_spell_frequency,,7
08115_Böblingen,0.4089180827140808,HSf3,year,hot_spell_frequency,,7
08116_Esslingen,0.4092792272567749,HSf3,year,hot_spell_frequency,,7
08117_Göppingen,0.30023884773254395,HSf3,year,hot_spell_frequency,,7
08118_Ludwigsburg,0.5430707931518555,HSf3,year,hot_spell_frequency,,7
08119_Rems-Murr-Kreis,0.43809974193573,HSf3,year,hot_spell_frequency,,7
08121_08125_Region_um_Heilbronn,0.5389553308486938,HSf3,year,hot_spell_frequency,,7
08121_Heilbronn,0.6110873222351074,HSf3,year,hot_spell_frequency,,7
08125_Heilbronn,0.5379461050033569,HSf3,year,hot_spell_frequency,,7
08126_Hohenlohekreis,0.40623971819877625,HSf3,year,hot_spell_frequency,,7
08127_Schwäbisch Hall,0.39817625284194946,HSf3,year,hot_spell_frequency,,7
08128_Main-Tauber-Kreis,0.31723752617836,HSf3,year,hot_spell_frequency,,7
08135_Heidenheim,0.3087227940559387,HSf3,year,hot_spell_frequency,,7
08136_Ostalbkreis,0.34058499336242676,HSf3,year,hot_spell_frequency,,7
08211_08216_Region_um_Baden-Baden,0.3808797597885132,HSf3,year,hot_spell_frequency,,7
08211_Baden-Baden,0.3035019338130951,HSf3,year,hot_spell_frequency,,7
08212_08215_07334_Region_um_Karlsruhe,0.5404379367828369,HSf3,year,hot_spell_frequency,,7
08212_Karlsruhe,0.5955740213394165,HSf3,year,hot_spell_frequency,,7
08215_Karlsruhe,0.5273618698120117,HSf3,year,hot_spell_frequency,,7
08216_Rastatt,0.4007781147956848,HSf3,year,hot_spell_frequency,,7
08221_08226_08222_Region_um_Heidelberg,0.542681872844696,HSf3,year,hot_spell_frequency,,7
08221_Heidelberg,0.6104589700698853,HSf3,year,hot_spell_frequency,,7
08222_08221_08226_06431_07338_07311_07318_07314_Region_um_Mannheim,0.5558637976646423,HSf3,year,hot_spell_frequency,,7
08222_Mannheim,0.6127949953079224,HSf3,year,hot_spell_frequency,,7
08225_Neckar-Odenwald-Kreis,0.39555346965789795,HSf3,year,hot_spell_frequency,,7
08226_Rhein-Neckar-Kreis,0.5584875345230103,HSf3,year,hot_spell_frequency,,7
08231_08236_08235_Region_um_Pforzheim,0.32236647605895996,HSf3,year,hot_spell_frequency,,7
08231_Pforzheim,0.35077714920043945,HSf3,year,hot_spell_frequency,,7
08235_Calw,0.24321705102920532,HSf3,year,hot_spell_frequency,,7
08236_Enzkreis,0.3873503506183624,HSf3,year,hot_spell_frequency,,7
08237_Freudenstadt,0.18651552498340607,HSf3,year,hot_spell_frequency,,7
08311_08316_08315_Region_um_Freiburg_im_Breisgau,0.3330691158771515,HSf3,year,hot_spell_frequency,,7
08311_Freiburg im Breisgau,0.3736390471458435,HSf3,year,hot_spell_frequency,,7
08315_Breisgau-Hochschwarzwald,0.24842047691345215,HSf3,year,hot_spell_frequency,,7
08316_Emmendingen,0.39721035957336426,HSf3,year,hot_spell_frequency,,7
08317_Ortenaukreis,0.42582130432128906,HSf3,year,hot_spell_frequency,,7
08325_Rottweil,0.20363469421863556,HSf3,year,hot_spell_frequency,,7
08326_Schwarzwald-Baar-Kreis,0.12385571748018265,HSf3,year,hot_spell_frequency,,7
08327_Tuttlingen,0.140251025557518,HSf3,year,hot_spell_frequency,,7
08335_Konstanz,0.3528095483779907,HSf3,year,hot_spell_frequency,,7
08336_Lörrach,0.43147149682044983,HSf3,year,hot_spell_frequency,,7
08337_Waldshut,0.2573547959327698,HSf3,year,hot_spell_frequency,,7
08415_Reutlingen,0.1786496490240097,HSf3,year,hot_spell_frequency,,7
08416_Tübingen,0.3874605894088745,HSf3,year,hot_spell_frequency,,7
08417_Zollernalbkreis,0.18429596722126007,HSf3,year,hot_spell_frequency,,7
08421_08425_09775_Region_um_Ulm,0.3050633668899536,HSf3,year,hot_spell_frequency,,7
08421_Ulm,0.3545328676700592,HSf3,year,hot_spell_frequency,,7
08425_Alb-Donau-Kreis,0.26514118909835815,HSf3,year,hot_spell_frequency,,7
08426_Biberach,0.30855870246887207,HSf3,year,hot_spell_frequency,,7
08435_Bodenseekreis,0.2511555552482605,HSf3,year,hot_spell_frequency,,7
08436_Ravensburg,0.27382922172546387,HSf3,year,hot_spell_frequency,,7
08437_Sigmaringen,0.21013595163822174,HSf3,year,hot_spell_frequency,,7
09161_09176_09185_09186_Region_um_Ingolstadt,0.4657464027404785,HSf3,year,hot_spell_frequency,,7
09161_Ingolstadt,0.5432659983634949,HSf3,year,hot_spell_frequency,,7
09162_09184_09179_09174_Region_um_München,0.4523297846317291,HSf3,year,hot_spell_frequency,,7
09162_München,0.5415561199188232,HSf3,year,hot_spell_frequency,,7
09163_09187_Region_um_Rosenheim,0.31671804189682007,HSf3,year,hot_spell_frequency,,7
09163_Rosenheim,0.4319301247596741,HSf3,year,hot_spell_frequency,,7
09171_Altötting,0.5413740277290344,HSf3,year,hot_spell_frequency,,7
09172_Berchtesgadener Land,0.14648139476776123,HSf3,year,hot_spell_frequency,,7
09173_Bad Tölz-Wolfratshausen,0.13659726083278656,HSf3,year,hot_spell_frequency,,7
09174_Dachau,0.41949188709259033,HSf3,year,hot_spell_frequency,,7
09175_Ebersberg,0.41417017579078674,HSf3,year,hot_spell_frequency,,7
09176_Eichstätt,0.43029072880744934,HSf3,year,hot_spell_frequency,,7
09177_Erding,0.4827089011669159,HSf3,year,hot_spell_frequency,,7
09178_Freising,0.5036592483520508,HSf3,year,hot_spell_frequency,,7
09179_Fürstenfeldbruck,0.37309420108795166,HSf3,year,hot_spell_frequency,,7
09180_Garmisch-Partenkirchen,0.04531514272093773,HSf3,year,hot_spell_frequency,,7
09181_Landsberg am Lech,0.29410284757614136,HSf3,year,hot_spell_frequency,,7
09182_Miesbach,0.10534758120775223,HSf3,year,hot_spell_frequency,,7
09183_Mühldorf a. Inn,0.5322614312171936,HSf3,year,hot_spell_frequency,,7
09184_München,0.38934963941574097,HSf3,year,hot_spell_frequency,,7
09185_Neuburg-Schrobenhausen,0.4553285241127014,HSf3,year,hot_spell_frequency,,7
09186_Pfaffenhofen a.d. Ilm,0.48500388860702515,HSf3,year,hot_spell_frequency,,7
09187_Rosenheim,0.3151579201221466,HSf3,year,hot_spell_frequency,,7
