region,DD_year_1.5C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
09279_Dingolfing-Landau,11.333236694335938,DD,year,days_with_precipitation_amount_below_threshold,days,7
09361_Amberg,9.084320068359375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09362_Regensburg,8.854339599609375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09363_Weiden i.d. OPf.,11.005599975585938,DD,year,days_with_precipitation_amount_below_threshold,days,7
09371_Amberg-Sulzbach,9.413070678710938,DD,year,days_with_precipitation_amount_below_threshold,days,7
09372_Cham,11.646377563476562,DD,year,days_with_precipitation_amount_below_threshold,days,7
09373_Neumarkt i.d. OPf.,9.94830322265625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09374_Neustadt a.d. Waldnaab,10.718215942382812,DD,year,days_with_precipitation_amount_below_threshold,days,7
09375_Regensburg,9.13525390625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09376_Schwandorf,9.761932373046875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09377_Tirschenreuth,11.487594604492188,DD,year,days_with_precipitation_amount_below_threshold,days,7
09461_Bamberg,10.01580810546875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09462_Bayreuth,10.625335693359375,DD,year,days_with_precipitation_amount_below_threshold,days,7
09463_Coburg,11.630523681640625,DD,year,days_with_precipitation_amount_below_threshold,days,7
09464_Hof,14.318679809570312,DD,year,days_with_precipitation_amount_below_threshold,days,7
09471_Bamberg,9.751846313476562,DD,year,days_with_precipitation_amount_below_threshold,days,7
09472_Bayreuth,10.345687866210938,DD,year,days_with_precipitation_amount_below_threshold,days,7
09473_Coburg,11.042434692382812,DD,year,days_with_precipitation_amount_below_threshold,days,7
09474_Forchheim,9.984100341796875,DD,year,days_with_precipitation_amount_below_threshold,days,7
09475_Hof,13.99688720703125,DD,year,days_with_precipitation_amount_below_threshold,days,7
09476_Kronach,13.238021850585938,DD,year,days_with_precipitation_amount_below_threshold,days,7
09477_Kulmbach,11.332077026367188,DD,year,days_with_precipitation_amount_below_threshold,days,7
09478_Lichtenfels,9.954238891601562,DD,year,days_with_precipitation_amount_below_threshold,days,7
