region,DSx5_year_2C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
07315_07339_06414_06433_Region_um_Mainz,0.40884948,DSx5,year,dry_spell_duration,days,7
07315_Mainz,0.5193328,DSx5,year,dry_spell_duration,days,7
07316_07337_07332_07313_Region_um_Neustadt_an_der_Weinstraße,0.26990172,DSx5,year,dry_spell_duration,days,7
07316_Neustadt an der Weinstraße,0.12504332,DSx5,year,dry_spell_duration,days,7
07317_07340_Region_um_Pirmasens,0.44789046,DSx5,year,dry_spell_duration,days,7
07317_Pirmasens,0.42969093,DSx5,year,dry_spell_duration,days,7
07318_07311_07314_07338_08215_08226_08212_Region_um_Speyer,0.1824191,DSx5,year,dry_spell_duration,days,7
07318_Speyer,0.1540925,DSx5,year,dry_spell_duration,days,7
07319_07331_07332_06431_07338_07311_07318_07314_Region_um_Worms,0.29546523,DSx5,year,dry_spell_duration,days,7
07319_Worms,0.3634177,DSx5,year,dry_spell_duration,days,7
07320_07340_10045_07317_Region_um_Zweibrücken,0.488367,DSx5,year,dry_spell_duration,days,7
07320_Zweibrücken,0.64588165,DSx5,year,dry_spell_duration,days,7
07331_Alzey-Worms,0.4063518,DSx5,year,dry_spell_duration,days,7
07332_Bad Dürkheim,0.27350047,DSx5,year,dry_spell_duration,days,7
07333_Donnersbergkreis,0.5191506,DSx5,year,dry_spell_duration,days,7
07334_Germersheim,0.13266262,DSx5,year,dry_spell_duration,days,7
07335_Kaiserslautern,0.46669447,DSx5,year,dry_spell_duration,days,7
07336_Kusel,0.50781846,DSx5,year,dry_spell_duration,days,7
07337_Südliche Weinstraße,0.2919134,DSx5,year,dry_spell_duration,days,7
07338_07311_07318_07314_08222_08226_08215_07334_07337_07313_07316_07332_07319_08221_08212_Region_um_Rhein-Pfalz-Kreis,0.2101184,DSx5,year,dry_spell_duration,days,7
07338_Rhein-Pfalz-Kreis,0.21543345,DSx5,year,dry_spell_duration,days,7
07339_Mainz-Bingen,0.43527973,DSx5,year,dry_spell_duration,days,7
07340_Südwestpfalz,0.44915384,DSx5,year,dry_spell_duration,days,7
08111_08115_08116_08118_08119_Region_um_Stuttgart,0.20400067,DSx5,year,dry_spell_duration,days,7
08111_Stuttgart,0.27460057,DSx5,year,dry_spell_duration,days,7
08115_Böblingen,0.3328289,DSx5,year,dry_spell_duration,days,7
08116_Esslingen,0.15826045,DSx5,year,dry_spell_duration,days,7
08117_Göppingen,0.17950162,DSx5,year,dry_spell_duration,days,7
08118_Ludwigsburg,0.18610236,DSx5,year,dry_spell_duration,days,7
08119_Rems-Murr-Kreis,0.14298894,DSx5,year,dry_spell_duration,days,7
08121_08125_Region_um_Heilbronn,0.111028135,DSx5,year,dry_spell_duration,days,7
08121_Heilbronn,0.11244836,DSx5,year,dry_spell_duration,days,7
08125_Heilbronn,0.110889636,DSx5,year,dry_spell_duration,days,7
08126_Hohenlohekreis,0.16039795,DSx5,year,dry_spell_duration,days,7
08127_Schwäbisch Hall,0.17082727,DSx5,year,dry_spell_duration,days,7
08128_Main-Tauber-Kreis,0.16692103,DSx5,year,dry_spell_duration,days,7
