region,ci_name,ci_frequency,standard_name,units,mid_month,DSx5_year_2C_rcp85_ensemble-robustness
09274_Landshut,DSx5,year,dry_spell_duration,days,7,
09275_Passau,DSx5,year,dry_spell_duration,days,7,
09276_Regen,DSx5,year,dry_spell_duration,days,7,
09277_Rottal-Inn,DSx5,year,dry_spell_duration,days,7,
09278_Straubing-Bogen,DSx5,year,dry_spell_duration,days,7,
09279_Dingolfing-Landau,DSx5,year,dry_spell_duration,days,7,
09361_09371_Region_um_Amberg,DSx5,year,dry_spell_duration,days,7,
09361_Amberg,DSx5,year,dry_spell_duration,days,7,
09362_09375_Region_um_Regensburg,DSx5,year,dry_spell_duration,days,7,
09362_Regensburg,DSx5,year,dry_spell_duration,days,7,
09363_09374_Region_um_Weiden_in_der_Oberpfalz,DSx5,year,dry_spell_duration,days,7,
09363_Weiden i.d. OPf.,DSx5,year,dry_spell_duration,days,7,
09371_Amberg-Sulzbach,DSx5,year,dry_spell_duration,days,7,
09372_Cham,DSx5,year,dry_spell_duration,days,7,-1.0
09373_Neumarkt i.d. OPf.,DSx5,year,dry_spell_duration,days,7,
09374_Neustadt a.d. Waldnaab,DSx5,year,dry_spell_duration,days,7,
09375_Regensburg,DSx5,year,dry_spell_duration,days,7,
09376_Schwandorf,DSx5,year,dry_spell_duration,days,7,
09377_Tirschenreuth,DSx5,year,dry_spell_duration,days,7,
09461_09471_Region_um_Bamberg,DSx5,year,dry_spell_duration,days,7,
09461_Bamberg,DSx5,year,dry_spell_duration,days,7,
09462_09472_Region_um_Bayreuth,DSx5,year,dry_spell_duration,days,7,
09462_Bayreuth,DSx5,year,dry_spell_duration,days,7,
09463_09473_Region_um_Coburg,DSx5,year,dry_spell_duration,days,7,
09463_Coburg,DSx5,year,dry_spell_duration,days,7,
09464_09475_Region_um_Hof,DSx5,year,dry_spell_duration,days,7,
09464_Hof,DSx5,year,dry_spell_duration,days,7,
09471_Bamberg,DSx5,year,dry_spell_duration,days,7,
09472_Bayreuth,DSx5,year,dry_spell_duration,days,7,
09473_Coburg,DSx5,year,dry_spell_duration,days,7,
09474_Forchheim,DSx5,year,dry_spell_duration,days,7,
09475_Hof,DSx5,year,dry_spell_duration,days,7,
09476_Kronach,DSx5,year,dry_spell_duration,days,7,
09477_Kulmbach,DSx5,year,dry_spell_duration,days,7,
09478_Lichtenfels,DSx5,year,dry_spell_duration,days,7,
09479_Wunsiedel i. Fichtelgebirge,DSx5,year,dry_spell_duration,days,7,
09561_09571_Region_um_Ansbach,DSx5,year,dry_spell_duration,days,7,
09561_Ansbach,DSx5,year,dry_spell_duration,days,7,
09562_09572_09564_09563_Region_um_Erlangen,DSx5,year,dry_spell_duration,days,7,
09562_Erlangen,DSx5,year,dry_spell_duration,days,7,
09563_09573_09562_09564_Region_um_Fürth,DSx5,year,dry_spell_duration,days,7,
09563_Fürth,DSx5,year,dry_spell_duration,days,7,
09564_09563_09574_09565_09573_09572_09576_09562_Region_um_Nürnberg,DSx5,year,dry_spell_duration,days,7,
09564_Nürnberg,DSx5,year,dry_spell_duration,days,7,
09565_09576_09564_Region_um_Schwabach,DSx5,year,dry_spell_duration,days,7,
09565_Schwabach,DSx5,year,dry_spell_duration,days,7,
09571_Ansbach,DSx5,year,dry_spell_duration,days,7,
09572_Erlangen-Höchstadt,DSx5,year,dry_spell_duration,days,7,
09573_09572_09562_09563_09574_09565_09576_09561_09571_09575_09564_Region_um_Fürth,DSx5,year,dry_spell_duration,days,7,
09573_Fürth,DSx5,year,dry_spell_duration,days,7,
09574_Nürnberger Land,DSx5,year,dry_spell_duration,days,7,
09575_Neustadt a.d. Aisch-Bad Windsheim,DSx5,year,dry_spell_duration,days,7,
09576_Roth,DSx5,year,dry_spell_duration,days,7,
09577_Weißenburg-Gunzenhausen,DSx5,year,dry_spell_duration,days,7,
09661_09671_09676_Region_um_Aschaffenburg,DSx5,year,dry_spell_duration,days,7,
09661_Aschaffenburg,DSx5,year,dry_spell_duration,days,7,
09662_09678_Region_um_Schweinfurt,DSx5,year,dry_spell_duration,days,7,
09662_Schweinfurt,DSx5,year,dry_spell_duration,days,7,
09663_09679_Region_um_Würzburg,DSx5,year,dry_spell_duration,days,7,
09663_Würzburg,DSx5,year,dry_spell_duration,days,7,
09671_Aschaffenburg,DSx5,year,dry_spell_duration,days,7,
09672_Bad Kissingen,DSx5,year,dry_spell_duration,days,7,
09673_Rhön-Grabfeld,DSx5,year,dry_spell_duration,days,7,
09674_Haßberge,DSx5,year,dry_spell_duration,days,7,
09675_Kitzingen,DSx5,year,dry_spell_duration,days,7,
