region,DSx5_year_1.5C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
08127_Schwäbisch Hall,0.2210216522216797,DSx5,year,dry_spell_duration,days,7
08128_Main-Tauber-Kreis,-0.07149696350097656,DSx5,year,dry_spell_duration,days,7
08135_Heidenheim,0.39691925048828125,DSx5,year,dry_spell_duration,days,7
08136_Ostalbkreis,0.23840713500976562,DSx5,year,dry_spell_duration,days,7
08211_08216_Region_um_Baden-Baden,0.2832813262939453,DSx5,year,dry_spell_duration,days,7
08211_Baden-Baden,0.3427295684814453,DSx5,year,dry_spell_duration,days,7
08212_08215_07334_Region_um_Karlsruhe,0.08198738098144531,DSx5,year,dry_spell_duration,days,7
08212_Karlsruhe,0.28655433654785156,DSx5,year,dry_spell_duration,days,7
08215_Karlsruhe,-0.017513275146484375,DSx5,year,dry_spell_duration,days,7
08216_Rastatt,0.29947948455810547,DSx5,year,dry_spell_duration,days,7
08221_08226_08222_Region_um_Heidelberg,0.07076072692871094,DSx5,year,dry_spell_duration,days,7
08221_Heidelberg,0.077880859375,DSx5,year,dry_spell_duration,days,7
08222_08221_08226_06431_07338_07311_07318_07314_Region_um_Mannheim,-0.0291595458984375,DSx5,year,dry_spell_duration,days,7
08222_Mannheim,-0.12056541442871094,DSx5,year,dry_spell_duration,days,7
08225_Neckar-Odenwald-Kreis,-0.10654449462890625,DSx5,year,dry_spell_duration,days,7
08226_Rhein-Neckar-Kreis,0.09615898132324219,DSx5,year,dry_spell_duration,days,7
08231_08236_08235_Region_um_Pforzheim,0.026025772094726562,DSx5,year,dry_spell_duration,days,7
08231_Pforzheim,0.03936576843261719,DSx5,year,dry_spell_duration,days,7
08235_Calw,0.23906707763671875,DSx5,year,dry_spell_duration,days,7
08236_Enzkreis,0.09040164947509766,DSx5,year,dry_spell_duration,days,7
08237_Freudenstadt,0.28682899475097656,DSx5,year,dry_spell_duration,days,7
08311_08316_08315_Region_um_Freiburg_im_Breisgau,0.2343759536743164,DSx5,year,dry_spell_duration,days,7
08311_Freiburg im Breisgau,0.24271869659423828,DSx5,year,dry_spell_duration,days,7
08315_Breisgau-Hochschwarzwald,0.13986587524414062,DSx5,year,dry_spell_duration,days,7
08316_Emmendingen,0.2046499252319336,DSx5,year,dry_spell_duration,days,7
08317_Ortenaukreis,0.2109689712524414,DSx5,year,dry_spell_duration,days,7
08325_Rottweil,0.28875732421875,DSx5,year,dry_spell_duration,days,7
08326_Schwarzwald-Baar-Kreis,0.07852458953857422,DSx5,year,dry_spell_duration,days,7
08327_Tuttlingen,0.19065093994140625,DSx5,year,dry_spell_duration,days,7
08335_Konstanz,-0.02825927734375,DSx5,year,dry_spell_duration,days,7
08336_Lörrach,0.11992645263671875,DSx5,year,dry_spell_duration,days,7
08337_Waldshut,0.2922191619873047,DSx5,year,dry_spell_duration,days,7
08415_Reutlingen,-0.04905128479003906,DSx5,year,dry_spell_duration,days,7
08416_Tübingen,0.19551467895507812,DSx5,year,dry_spell_duration,days,7
08417_Zollernalbkreis,0.13239288330078125,DSx5,year,dry_spell_duration,days,7
08421_08425_09775_Region_um_Ulm,0.22347068786621094,DSx5,year,dry_spell_duration,days,7
08421_Ulm,0.23836135864257812,DSx5,year,dry_spell_duration,days,7
08425_Alb-Donau-Kreis,0.1956920623779297,DSx5,year,dry_spell_duration,days,7
08426_Biberach,0.08847999572753906,DSx5,year,dry_spell_duration,days,7
08435_Bodenseekreis,-0.11226844787597656,DSx5,year,dry_spell_duration,days,7
08436_Ravensburg,-0.09204673767089844,DSx5,year,dry_spell_duration,days,7
08437_Sigmaringen,0.11314201354980469,DSx5,year,dry_spell_duration,days,7
09161_09176_09185_09186_Region_um_Ingolstadt,0.20781707763671875,DSx5,year,dry_spell_duration,days,7
09161_Ingolstadt,0.20003700256347656,DSx5,year,dry_spell_duration,days,7
09162_09184_09179_09174_Region_um_München,0.17461299896240234,DSx5,year,dry_spell_duration,days,7
09162_München,0.1983013153076172,DSx5,year,dry_spell_duration,days,7
09163_09187_Region_um_Rosenheim,0.2513408660888672,DSx5,year,dry_spell_duration,days,7
09163_Rosenheim,0.1504507064819336,DSx5,year,dry_spell_duration,days,7
09171_Altötting,0.18754100799560547,DSx5,year,dry_spell_duration,days,7
09172_Berchtesgadener Land,0.018445968627929688,DSx5,year,dry_spell_duration,days,7
09173_Bad Tölz-Wolfratshausen,-0.1296844482421875,DSx5,year,dry_spell_duration,days,7
09174_Dachau,0.1597146987915039,DSx5,year,dry_spell_duration,days,7
09175_Ebersberg,0.41216468811035156,DSx5,year,dry_spell_duration,days,7
09176_Eichstätt,0.14978790283203125,DSx5,year,dry_spell_duration,days,7
09177_Erding,0.3133068084716797,DSx5,year,dry_spell_duration,days,7
09178_Freising,0.08478927612304688,DSx5,year,dry_spell_duration,days,7
09179_Fürstenfeldbruck,0.221771240234375,DSx5,year,dry_spell_duration,days,7
09180_Garmisch-Partenkirchen,0.058971405029296875,DSx5,year,dry_spell_duration,days,7
09181_Landsberg am Lech,0.024356842041015625,DSx5,year,dry_spell_duration,days,7
09182_Miesbach,0.015045166015625,DSx5,year,dry_spell_duration,days,7
09183_Mühldorf a. Inn,0.22215652465820312,DSx5,year,dry_spell_duration,days,7
09184_München,0.21075820922851562,DSx5,year,dry_spell_duration,days,7
09185_Neuburg-Schrobenhausen,0.16173934936523438,DSx5,year,dry_spell_duration,days,7
09186_Pfaffenhofen a.d. Ilm,-0.073394775390625,DSx5,year,dry_spell_duration,days,7
09187_Rosenheim,0.26491737365722656,DSx5,year,dry_spell_duration,days,7
09188_Starnberg,-0.08513164520263672,DSx5,year,dry_spell_duration,days,7
