region,DSx5_year_4C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
08212_Karlsruhe,1.9094200134277344,DSx5,year,dry_spell_duration,days,7
08215_Karlsruhe,1.7243328094482422,DSx5,year,dry_spell_duration,days,7
08216_Rastatt,2.0331954956054688,DSx5,year,dry_spell_duration,days,7
08221_08226_08222_Region_um_Heidelberg,1.433608055114746,DSx5,year,dry_spell_duration,days,7
08221_Heidelberg,1.3772592544555664,DSx5,year,dry_spell_duration,days,7
08222_08221_08226_06431_07338_07311_07318_07314_Region_um_Mannheim,1.513880729675293,DSx5,year,dry_spell_duration,days,7
08222_Mannheim,1.6804304122924805,DSx5,year,dry_spell_duration,days,7
08225_Neckar-Odenwald-Kreis,1.6060981750488281,DSx5,year,dry_spell_duration,days,7
08226_Rhein-Neckar-Kreis,1.417612075805664,DSx5,year,dry_spell_duration,days,7
08231_08236_08235_Region_um_Pforzheim,2.123659133911133,DSx5,year,dry_spell_duration,days,7
08231_Pforzheim,1.977513313293457,DSx5,year,dry_spell_duration,days,7
08235_Calw,2.0137767791748047,DSx5,year,dry_spell_duration,days,7
08236_Enzkreis,2.011380195617676,DSx5,year,dry_spell_duration,days,7
08237_Freudenstadt,2.3046751022338867,DSx5,year,dry_spell_duration,days,7
08311_08316_08315_Region_um_Freiburg_im_Breisgau,1.9460983276367188,DSx5,year,dry_spell_duration,days,7
08311_Freiburg im Breisgau,2.247614860534668,DSx5,year,dry_spell_duration,days,7
08315_Breisgau-Hochschwarzwald,2.019721031188965,DSx5,year,dry_spell_duration,days,7
08316_Emmendingen,1.916548728942871,DSx5,year,dry_spell_duration,days,7
08317_Ortenaukreis,1.9492559432983398,DSx5,year,dry_spell_duration,days,7
08325_Rottweil,2.15360164642334,DSx5,year,dry_spell_duration,days,7
08326_Schwarzwald-Baar-Kreis,1.3500032424926758,DSx5,year,dry_spell_duration,days,7
08327_Tuttlingen,1.551826000213623,DSx5,year,dry_spell_duration,days,7
08335_Konstanz,1.2578754425048828,DSx5,year,dry_spell_duration,days,7
08336_Lörrach,2.1160240173339844,DSx5,year,dry_spell_duration,days,7
08337_Waldshut,2.203066825866699,DSx5,year,dry_spell_duration,days,7
08415_Reutlingen,1.8559160232543945,DSx5,year,dry_spell_duration,days,7
08416_Tübingen,2.0866165161132812,DSx5,year,dry_spell_duration,days,7
08417_Zollernalbkreis,2.154420852661133,DSx5,year,dry_spell_duration,days,7
08421_08425_09775_Region_um_Ulm,1.4010615348815918,DSx5,year,dry_spell_duration,days,7
08421_Ulm,1.5273637771606445,DSx5,year,dry_spell_duration,days,7
08425_Alb-Donau-Kreis,1.506300449371338,DSx5,year,dry_spell_duration,days,7
08426_Biberach,1.0566792488098145,DSx5,year,dry_spell_duration,days,7
08435_Bodenseekreis,1.2817668914794922,DSx5,year,dry_spell_duration,days,7
08436_Ravensburg,1.2689695358276367,DSx5,year,dry_spell_duration,days,7
08437_Sigmaringen,1.3157320022583008,DSx5,year,dry_spell_duration,days,7
09161_09176_09185_09186_Region_um_Ingolstadt,1.2742900848388672,DSx5,year,dry_spell_duration,days,7
09161_Ingolstadt,1.4557723999023438,DSx5,year,dry_spell_duration,days,7
09162_09184_09179_09174_Region_um_München,1.143977165222168,DSx5,year,dry_spell_duration,days,7
09162_München,1.031850814819336,DSx5,year,dry_spell_duration,days,7
09163_09187_Region_um_Rosenheim,0.8756661415100098,DSx5,year,dry_spell_duration,days,7
09163_Rosenheim,0.745640754699707,DSx5,year,dry_spell_duration,days,7
09171_Altötting,1.0524182319641113,DSx5,year,dry_spell_duration,days,7
09172_Berchtesgadener Land,0.7806634902954102,DSx5,year,dry_spell_duration,days,7
09173_Bad Tölz-Wolfratshausen,0.6667599678039551,DSx5,year,dry_spell_duration,days,7
09174_Dachau,1.2883048057556152,DSx5,year,dry_spell_duration,days,7
09175_Ebersberg,1.15867280960083,DSx5,year,dry_spell_duration,days,7
09176_Eichstätt,1.1740083694458008,DSx5,year,dry_spell_duration,days,7
09177_Erding,1.0486550331115723,DSx5,year,dry_spell_duration,days,7
09178_Freising,1.0256052017211914,DSx5,year,dry_spell_duration,days,7
09179_Fürstenfeldbruck,1.1837024688720703,DSx5,year,dry_spell_duration,days,7
09180_Garmisch-Partenkirchen,0.7537217140197754,DSx5,year,dry_spell_duration,days,7
09181_Landsberg am Lech,0.9741215705871582,DSx5,year,dry_spell_duration,days,7
09182_Miesbach,0.7431278228759766,DSx5,year,dry_spell_duration,days,7
09183_Mühldorf a. Inn,0.8455848693847656,DSx5,year,dry_spell_duration,days,7
09184_München,1.0727438926696777,DSx5,year,dry_spell_duration,days,7
09185_Neuburg-Schrobenhausen,1.3341412544250488,DSx5,year,dry_spell_duration,days,7
09186_Pfaffenhofen a.d. Ilm,1.1840705871582031,DSx5,year,dry_spell_duration,days,7
09187_Rosenheim,0.8800773620605469,DSx5,year,dry_spell_duration,days,7
09188_Starnberg,1.0463485717773438,DSx5,year,dry_spell_duration,days,7
09189_Traunstein,0.7849349975585938,DSx5,year,dry_spell_duration,days,7
09190_Weilheim-Schongau,0.5797457695007324,DSx5,year,dry_spell_duration,days,7
09261_09274_Region_um_Landshut,1.1622562408447266,DSx5,year,dry_spell_duration,days,7
09261_Landshut,1.2943506240844727,DSx5,year,dry_spell_duration,days,7
09262_09275_Region_um_Passau,0.852959156036377,DSx5,year,dry_spell_duration,days,7
