region,DSx5_year_1.5C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
08212_Karlsruhe,-2.512209892272949,DSx5,year,dry_spell_duration,days,7
08215_Karlsruhe,-2.6293792724609375,DSx5,year,dry_spell_duration,days,7
08216_Rastatt,-1.594059944152832,DSx5,year,dry_spell_duration,days,7
08221_08226_08222_Region_um_Heidelberg,-2.6548309326171875,DSx5,year,dry_spell_duration,days,7
08221_Heidelberg,-3.394651412963867,DSx5,year,dry_spell_duration,days,7
08222_08221_08226_06431_07338_07311_07318_07314_Region_um_Mannheim,-1.9132099151611328,DSx5,year,dry_spell_duration,days,7
08222_Mannheim,-2.1246089935302734,DSx5,year,dry_spell_duration,days,7
08225_Neckar-Odenwald-Kreis,-1.9539299011230469,DSx5,year,dry_spell_duration,days,7
08226_Rhein-Neckar-Kreis,-2.686716079711914,DSx5,year,dry_spell_duration,days,7
08231_08236_08235_Region_um_Pforzheim,-2.062167167663574,DSx5,year,dry_spell_duration,days,7
08231_Pforzheim,-2.4582033157348633,DSx5,year,dry_spell_duration,days,7
08235_Calw,-1.8125066757202148,DSx5,year,dry_spell_duration,days,7
08236_Enzkreis,-2.3365612030029297,DSx5,year,dry_spell_duration,days,7
08237_Freudenstadt,-1.4928131103515625,DSx5,year,dry_spell_duration,days,7
08311_08316_08315_Region_um_Freiburg_im_Breisgau,-1.3926916122436523,DSx5,year,dry_spell_duration,days,7
08311_Freiburg im Breisgau,-2.1344175338745117,DSx5,year,dry_spell_duration,days,7
08315_Breisgau-Hochschwarzwald,-1.3484277725219727,DSx5,year,dry_spell_duration,days,7
08316_Emmendingen,-1.9310674667358398,DSx5,year,dry_spell_duration,days,7
08317_Ortenaukreis,-1.808241844177246,DSx5,year,dry_spell_duration,days,7
08325_Rottweil,-1.7915630340576172,DSx5,year,dry_spell_duration,days,7
08326_Schwarzwald-Baar-Kreis,-1.3738269805908203,DSx5,year,dry_spell_duration,days,7
08327_Tuttlingen,-1.8750381469726562,DSx5,year,dry_spell_duration,days,7
08335_Konstanz,-1.740138053894043,DSx5,year,dry_spell_duration,days,7
08336_Lörrach,-1.5982742309570312,DSx5,year,dry_spell_duration,days,7
08337_Waldshut,-1.5000495910644531,DSx5,year,dry_spell_duration,days,7
08415_Reutlingen,-2.5639915466308594,DSx5,year,dry_spell_duration,days,7
08416_Tübingen,-2.2970666885375977,DSx5,year,dry_spell_duration,days,7
08417_Zollernalbkreis,-2.5788259506225586,DSx5,year,dry_spell_duration,days,7
08421_08425_09775_Region_um_Ulm,-1.8156347274780273,DSx5,year,dry_spell_duration,days,7
08421_Ulm,-1.7944669723510742,DSx5,year,dry_spell_duration,days,7
08425_Alb-Donau-Kreis,-1.6707077026367188,DSx5,year,dry_spell_duration,days,7
08426_Biberach,-2.6038942337036133,DSx5,year,dry_spell_duration,days,7
08435_Bodenseekreis,-2.925130844116211,DSx5,year,dry_spell_duration,days,7
08436_Ravensburg,-2.537992477416992,DSx5,year,dry_spell_duration,days,7
08437_Sigmaringen,-1.9194116592407227,DSx5,year,dry_spell_duration,days,7
09161_09176_09185_09186_Region_um_Ingolstadt,-1.5826053619384766,DSx5,year,dry_spell_duration,days,7
09161_Ingolstadt,-1.9761104583740234,DSx5,year,dry_spell_duration,days,7
09162_09184_09179_09174_Region_um_München,-2.200345993041992,DSx5,year,dry_spell_duration,days,7
09162_München,-2.474905014038086,DSx5,year,dry_spell_duration,days,7
09163_09187_Region_um_Rosenheim,-2.2172927856445312,DSx5,year,dry_spell_duration,days,7
09163_Rosenheim,-3.2333335876464844,DSx5,year,dry_spell_duration,days,7
09171_Altötting,-2.819901466369629,DSx5,year,dry_spell_duration,days,7
09172_Berchtesgadener Land,-1.8631477355957031,DSx5,year,dry_spell_duration,days,7
09173_Bad Tölz-Wolfratshausen,-1.8832197189331055,DSx5,year,dry_spell_duration,days,7
09174_Dachau,-2.405193328857422,DSx5,year,dry_spell_duration,days,7
09175_Ebersberg,-2.1439123153686523,DSx5,year,dry_spell_duration,days,7
09176_Eichstätt,-1.4826393127441406,DSx5,year,dry_spell_duration,days,7
09177_Erding,-2.6154232025146484,DSx5,year,dry_spell_duration,days,7
09178_Freising,-2.257528305053711,DSx5,year,dry_spell_duration,days,7
09179_Fürstenfeldbruck,-2.5577611923217773,DSx5,year,dry_spell_duration,days,7
09180_Garmisch-Partenkirchen,-2.800534248352051,DSx5,year,dry_spell_duration,days,7
09181_Landsberg am Lech,-2.5995826721191406,DSx5,year,dry_spell_duration,days,7
09182_Miesbach,-1.6140851974487305,DSx5,year,dry_spell_duration,days,7
09183_Mühldorf a. Inn,-3.2448625564575195,DSx5,year,dry_spell_duration,days,7
09184_München,-2.2394723892211914,DSx5,year,dry_spell_duration,days,7
09185_Neuburg-Schrobenhausen,-1.817117691040039,DSx5,year,dry_spell_duration,days,7
