region,DSx5_year_3C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
07340_Südwestpfalz,8.635152816772461,DSx5,year,dry_spell_duration,days,7
08111_08115_08116_08118_08119_Region_um_Stuttgart,8.722692489624023,DSx5,year,dry_spell_duration,days,7
08111_Stuttgart,8.776716232299805,DSx5,year,dry_spell_duration,days,7
08115_Böblingen,9.584840774536133,DSx5,year,dry_spell_duration,days,7
08116_Esslingen,8.666645050048828,DSx5,year,dry_spell_duration,days,7
08117_Göppingen,9.701251983642578,DSx5,year,dry_spell_duration,days,7
08118_Ludwigsburg,8.52280044555664,DSx5,year,dry_spell_duration,days,7
08119_Rems-Murr-Kreis,8.295413970947266,DSx5,year,dry_spell_duration,days,7
08121_08125_Region_um_Heilbronn,7.943248748779297,DSx5,year,dry_spell_duration,days,7
08121_Heilbronn,8.64183235168457,DSx5,year,dry_spell_duration,days,7
08125_Heilbronn,7.875028610229492,DSx5,year,dry_spell_duration,days,7
08126_Hohenlohekreis,6.4093780517578125,DSx5,year,dry_spell_duration,days,7
08127_Schwäbisch Hall,8.805255889892578,DSx5,year,dry_spell_duration,days,7
08128_Main-Tauber-Kreis,6.410404205322266,DSx5,year,dry_spell_duration,days,7
08135_Heidenheim,9.84623908996582,DSx5,year,dry_spell_duration,days,7
08136_Ostalbkreis,9.312782287597656,DSx5,year,dry_spell_duration,days,7
08211_08216_Region_um_Baden-Baden,8.087987899780273,DSx5,year,dry_spell_duration,days,7
08211_Baden-Baden,8.065534591674805,DSx5,year,dry_spell_duration,days,7
08212_08215_07334_Region_um_Karlsruhe,8.723304748535156,DSx5,year,dry_spell_duration,days,7
08212_Karlsruhe,10.681325912475586,DSx5,year,dry_spell_duration,days,7
08215_Karlsruhe,9.409276962280273,DSx5,year,dry_spell_duration,days,7
08216_Rastatt,8.092185974121094,DSx5,year,dry_spell_duration,days,7
08221_08226_08222_Region_um_Heidelberg,8.730087280273438,DSx5,year,dry_spell_duration,days,7
08221_Heidelberg,7.687175750732422,DSx5,year,dry_spell_duration,days,7
08222_08221_08226_06431_07338_07311_07318_07314_Region_um_Mannheim,8.874723434448242,DSx5,year,dry_spell_duration,days,7
08222_Mannheim,8.00413703918457,DSx5,year,dry_spell_duration,days,7
08225_Neckar-Odenwald-Kreis,7.899971008300781,DSx5,year,dry_spell_duration,days,7
08226_Rhein-Neckar-Kreis,8.950250625610352,DSx5,year,dry_spell_duration,days,7
08231_08236_08235_Region_um_Pforzheim,10.285942077636719,DSx5,year,dry_spell_duration,days,7
08231_Pforzheim,10.351459503173828,DSx5,year,dry_spell_duration,days,7
08235_Calw,10.526985168457031,DSx5,year,dry_spell_duration,days,7
08236_Enzkreis,9.938690185546875,DSx5,year,dry_spell_duration,days,7
08237_Freudenstadt,10.201234817504883,DSx5,year,dry_spell_duration,days,7
08311_08316_08315_Region_um_Freiburg_im_Breisgau,10.272756576538086,DSx5,year,dry_spell_duration,days,7
08311_Freiburg im Breisgau,9.528013229370117,DSx5,year,dry_spell_duration,days,7
08315_Breisgau-Hochschwarzwald,10.541427612304688,DSx5,year,dry_spell_duration,days,7
08316_Emmendingen,9.899805068969727,DSx5,year,dry_spell_duration,days,7
08317_Ortenaukreis,9.243989944458008,DSx5,year,dry_spell_duration,days,7
08325_Rottweil,11.063575744628906,DSx5,year,dry_spell_duration,days,7
08326_Schwarzwald-Baar-Kreis,10.917089462280273,DSx5,year,dry_spell_duration,days,7
08327_Tuttlingen,11.315498352050781,DSx5,year,dry_spell_duration,days,7
08335_Konstanz,12.618057250976562,DSx5,year,dry_spell_duration,days,7
08336_Lörrach,11.734613418579102,DSx5,year,dry_spell_duration,days,7
08337_Waldshut,11.676959991455078,DSx5,year,dry_spell_duration,days,7
08415_Reutlingen,9.180795669555664,DSx5,year,dry_spell_duration,days,7
08416_Tübingen,10.43629264831543,DSx5,year,dry_spell_duration,days,7
08417_Zollernalbkreis,9.897760391235352,DSx5,year,dry_spell_duration,days,7
08421_08425_09775_Region_um_Ulm,8.75390625,DSx5,year,dry_spell_duration,days,7
08421_Ulm,8.985807418823242,DSx5,year,dry_spell_duration,days,7
08425_Alb-Donau-Kreis,9.376838684082031,DSx5,year,dry_spell_duration,days,7
08426_Biberach,8.392318725585938,DSx5,year,dry_spell_duration,days,7
08435_Bodenseekreis,9.669246673583984,DSx5,year,dry_spell_duration,days,7
08436_Ravensburg,7.38731575012207,DSx5,year,dry_spell_duration,days,7
08437_Sigmaringen,10.548702239990234,DSx5,year,dry_spell_duration,days,7
