region,FD_year_1.5C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
08336_Lörrach,-5.1349945068359375,FD,year,days_with_air_temperature_below_threshold,days,7
08337_Waldshut,-7.39349365234375,FD,year,days_with_air_temperature_below_threshold,days,7
08415_Reutlingen,-7.2804718017578125,FD,year,days_with_air_temperature_below_threshold,days,7
08416_Tübingen,-5.887153625488281,FD,year,days_with_air_temperature_below_threshold,days,7
08417_Zollernalbkreis,-7.152229309082031,FD,year,days_with_air_temperature_below_threshold,days,7
08421_Ulm,-6.4678497314453125,FD,year,days_with_air_temperature_below_threshold,days,7
08425_Alb-Donau-Kreis,-7.140846252441406,FD,year,days_with_air_temperature_below_threshold,days,7
08426_Biberach,-7.090633392333984,FD,year,days_with_air_temperature_below_threshold,days,7
08435_Bodenseekreis,-4.784030914306641,FD,year,days_with_air_temperature_below_threshold,days,7
08436_Ravensburg,-7.872520446777344,FD,year,days_with_air_temperature_below_threshold,days,7
08437_Sigmaringen,-8.123924255371094,FD,year,days_with_air_temperature_below_threshold,days,7
09161_Ingolstadt,-3.9658775329589844,FD,year,days_with_air_temperature_below_threshold,days,7
09162_München,-4.7555694580078125,FD,year,days_with_air_temperature_below_threshold,days,7
09163_Rosenheim,-6.129371643066406,FD,year,days_with_air_temperature_below_threshold,days,7
09171_Altötting,-2.6674880981445312,FD,year,days_with_air_temperature_below_threshold,days,7
09172_Berchtesgadener Land,-6.125724792480469,FD,year,days_with_air_temperature_below_threshold,days,7
09173_Bad Tölz-Wolfratshausen,-6.03094482421875,FD,year,days_with_air_temperature_below_threshold,days,7
09174_Dachau,-5.348762512207031,FD,year,days_with_air_temperature_below_threshold,days,7
09175_Ebersberg,-5.3966522216796875,FD,year,days_with_air_temperature_below_threshold,days,7
09176_Eichstätt,-4.530998229980469,FD,year,days_with_air_temperature_below_threshold,days,7
09177_Erding,-3.9195327758789062,FD,year,days_with_air_temperature_below_threshold,days,7
09178_Freising,-4.117439270019531,FD,year,days_with_air_temperature_below_threshold,days,7
09179_Fürstenfeldbruck,-6.11322021484375,FD,year,days_with_air_temperature_below_threshold,days,7
09180_Garmisch-Partenkirchen,-6.023712158203125,FD,year,days_with_air_temperature_below_threshold,days,7
09181_Landsberg am Lech,-7.1837921142578125,FD,year,days_with_air_temperature_below_threshold,days,7
09182_Miesbach,-5.668312072753906,FD,year,days_with_air_temperature_below_threshold,days,7
09183_Mühldorf a. Inn,-4.015552520751953,FD,year,days_with_air_temperature_below_threshold,days,7
