region,FD_year_2C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
09662_Schweinfurt,-24.619486,FD,year,days_with_air_temperature_below_threshold,days,7
09663_Würzburg,-23.57304,FD,year,days_with_air_temperature_below_threshold,days,7
09671_Aschaffenburg,-23.519146,FD,year,days_with_air_temperature_below_threshold,days,7
09672_Bad Kissingen,-25.891878,FD,year,days_with_air_temperature_below_threshold,days,7
09673_Rhön-Grabfeld,-26.655634,FD,year,days_with_air_temperature_below_threshold,days,7
09674_Haßberge,-25.162678,FD,year,days_with_air_temperature_below_threshold,days,7
09675_Kitzingen,-23.72,FD,year,days_with_air_temperature_below_threshold,days,7
09676_Miltenberg,-23.950914,FD,year,days_with_air_temperature_below_threshold,days,7
09677_Main-Spessart,-24.739021,FD,year,days_with_air_temperature_below_threshold,days,7
09678_Schweinfurt,-24.575712,FD,year,days_with_air_temperature_below_threshold,days,7
09679_Würzburg,-23.664581,FD,year,days_with_air_temperature_below_threshold,days,7
09761_Augsburg,-24.587753,FD,year,days_with_air_temperature_below_threshold,days,7
09762_Kaufbeuren,-25.541666,FD,year,days_with_air_temperature_below_threshold,days,7
09763_Kempten (Allgäu),-25.689554,FD,year,days_with_air_temperature_below_threshold,days,7
09764_Memmingen,-25.586254,FD,year,days_with_air_temperature_below_threshold,days,7
09771_Aichach-Friedberg,-24.969494,FD,year,days_with_air_temperature_below_threshold,days,7
09772_Augsburg,-25.029797,FD,year,days_with_air_temperature_below_threshold,days,7
09773_Dillingen a.d. Donau,-25.624228,FD,year,days_with_air_temperature_below_threshold,days,7
09774_Günzburg,-25.141338,FD,year,days_with_air_temperature_below_threshold,days,7
09775_Neu-Ulm,-25.294891,FD,year,days_with_air_temperature_below_threshold,days,7
09776_Lindau (Bodensee),-25.386963,FD,year,days_with_air_temperature_below_threshold,days,7
09777_Ostallgäu,-25.388746,FD,year,days_with_air_temperature_below_threshold,days,7
09778_Unterallgäu,-25.325104,FD,year,days_with_air_temperature_below_threshold,days,7
09779_Donau-Ries,-25.668343,FD,year,days_with_air_temperature_below_threshold,days,7
09780_Oberallgäu,-25.580189,FD,year,days_with_air_temperature_below_threshold,days,7
10041_Regionalverband Saarbrücken,-21.260893,FD,year,days_with_air_temperature_below_threshold,days,7
10042_Merzig-Wadern,-22.70155,FD,year,days_with_air_temperature_below_threshold,days,7
10043_Neunkirchen,-22.371897,FD,year,days_with_air_temperature_below_threshold,days,7
10044_Saarlouis,-21.634563,FD,year,days_with_air_temperature_below_threshold,days,7
10045_Saarpfalz-Kreis,-21.91533,FD,year,days_with_air_temperature_below_threshold,days,7
