region,ci_name,ci_frequency,standard_name,units,mid_month,SU35_year_1.5C_rcp85_ensemble-robustness
08222_08221_08226_06431_07338_07311_07318_07314_Region_um_Mannheim,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2.0
08222_Mannheim,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2.0
08225_Neckar-Odenwald-Kreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
08226_Rhein-Neckar-Kreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2.0
08231_08236_08235_Region_um_Pforzheim,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2.0
08231_Pforzheim,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
08235_Calw,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
08236_Enzkreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2.0
08237_Freudenstadt,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
08311_08316_08315_Region_um_Freiburg_im_Breisgau,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2.0
08311_Freiburg im Breisgau,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2.0
08315_Breisgau-Hochschwarzwald,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2.0
08316_Emmendingen,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2.0
08317_Ortenaukreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2.0
08325_Rottweil,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
08326_Schwarzwald-Baar-Kreis,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
08327_Tuttlingen,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
08335_Konstanz,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,1.0
08336_Lörrach,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7,2.0
