region,SU35_year_4C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
08128_Main-Tauber-Kreis,5.8441515,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08135_Heidenheim,4.2945423,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08136_Ostalbkreis,4.5421495,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08211_08216_Region_um_Baden-Baden,6.191647,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08211_Baden-Baden,5.70996,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08212_08215_07334_Region_um_Karlsruhe,9.31818,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08212_Karlsruhe,9.826143,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08215_Karlsruhe,8.940804,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08216_Rastatt,6.2816906,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08221_08226_08222_Region_um_Heidelberg,8.524815,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08221_Heidelberg,8.570063,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08222_08221_08226_06431_07338_07311_07318_07314_Region_um_Mannheim,8.602366,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08222_Mannheim,10.571875,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08225_Neckar-Odenwald-Kreis,5.8995824,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08226_Rhein-Neckar-Kreis,8.233378,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08231_08236_08235_Region_um_Pforzheim,4.7626143,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08231_Pforzheim,5.5942163,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08235_Calw,3.5666974,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
08236_Enzkreis,6.272843,SU35,year,days_with_air_temperature_above_or_equal_threshold,days,7
