region,LFD_year_1.5C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
09375_Regensburg,-0.2913767099380493,LFD,year,days_with_air_temperature_below_threshold,days,7
09376_Schwandorf,-0.2766079902648926,LFD,year,days_with_air_temperature_below_threshold,days,7
09377_Tirschenreuth,-0.684126615524292,LFD,year,days_with_air_temperature_below_threshold,days,7
09461_Bamberg,-0.16666996479034424,LFD,year,days_with_air_temperature_below_threshold,days,7
09462_Bayreuth,-0.2277822494506836,LFD,year,days_with_air_temperature_below_threshold,days,7
09463_Coburg,-0.19438529014587402,LFD,year,days_with_air_temperature_below_threshold,days,7
09464_Hof,-0.8020522594451904,LFD,year,days_with_air_temperature_below_threshold,days,7
09471_Bamberg,-0.25231826305389404,LFD,year,days_with_air_temperature_below_threshold,days,7
09472_Bayreuth,-0.31290602684020996,LFD,year,days_with_air_temperature_below_threshold,days,7
09473_Coburg,-0.3125295639038086,LFD,year,days_with_air_temperature_below_threshold,days,7
09474_Forchheim,-0.192779541015625,LFD,year,days_with_air_temperature_below_threshold,days,7
09475_Hof,-0.7538764476776123,LFD,year,days_with_air_temperature_below_threshold,days,7
09476_Kronach,-0.4943249225616455,LFD,year,days_with_air_temperature_below_threshold,days,7
09477_Kulmbach,-0.23789215087890625,LFD,year,days_with_air_temperature_below_threshold,days,7
09478_Lichtenfels,-0.2813228368759155,LFD,year,days_with_air_temperature_below_threshold,days,7
09479_Wunsiedel i. Fichtelgebirge,-0.7769010066986084,LFD,year,days_with_air_temperature_below_threshold,days,7
09561_Ansbach,-0.3223915696144104,LFD,year,days_with_air_temperature_below_threshold,days,7
09562_Erlangen,-0.1222693920135498,LFD,year,days_with_air_temperature_below_threshold,days,7
09563_Fürth,0.07876193523406982,LFD,year,days_with_air_temperature_below_threshold,days,7
09564_Nürnberg,-0.06771528720855713,LFD,year,days_with_air_temperature_below_threshold,days,7
09565_Schwabach,-0.0788450837135315,LFD,year,days_with_air_temperature_below_threshold,days,7
09571_Ansbach,-0.2818537950515747,LFD,year,days_with_air_temperature_below_threshold,days,7
09572_Erlangen-Höchstadt,-0.168992280960083,LFD,year,days_with_air_temperature_below_threshold,days,7
09573_Fürth,-0.12468349933624268,LFD,year,days_with_air_temperature_below_threshold,days,7
09574_Nürnberger Land,-0.1136479377746582,LFD,year,days_with_air_temperature_below_threshold,days,7
09575_Neustadt a.d. Aisch-Bad Windsheim,-0.1419508457183838,LFD,year,days_with_air_temperature_below_threshold,days,7
09576_Roth,-0.08864009380340576,LFD,year,days_with_air_temperature_below_threshold,days,7
