region,LFD_year_1.5C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
09174_Dachau,-8.380697250366211,LFD,year,days_with_air_temperature_below_threshold,days,7
09175_Ebersberg,-8.817390441894531,LFD,year,days_with_air_temperature_below_threshold,days,7
09176_Eichstätt,-8.178152084350586,LFD,year,days_with_air_temperature_below_threshold,days,7
09177_Erding,-8.261795997619629,LFD,year,days_with_air_temperature_below_threshold,days,7
09178_Freising,-8.405816078186035,LFD,year,days_with_air_temperature_below_threshold,days,7
09179_Fürstenfeldbruck,-8.6593017578125,LFD,year,days_with_air_temperature_below_threshold,days,7
09180_Garmisch-Partenkirchen,-10.593803405761719,LFD,year,days_with_air_temperature_below_threshold,days,7
09181_Landsberg am Lech,-8.951961517333984,LFD,year,days_with_air_temperature_below_threshold,days,7
09182_Miesbach,-9.874187469482422,LFD,year,days_with_air_temperature_below_threshold,days,7
09183_Mühldorf a. Inn,-8.311168670654297,LFD,year,days_with_air_temperature_below_threshold,days,7
09184_München,-8.752880096435547,LFD,year,days_with_air_temperature_below_threshold,days,7
09185_Neuburg-Schrobenhausen,-8.521856307983398,LFD,year,days_with_air_temperature_below_threshold,days,7
09186_Pfaffenhofen a.d. Ilm,-8.151395797729492,LFD,year,days_with_air_temperature_below_threshold,days,7
09187_Rosenheim,-9.514278411865234,LFD,year,days_with_air_temperature_below_threshold,days,7
09188_Starnberg,-9.369462966918945,LFD,year,days_with_air_temperature_below_threshold,days,7
09189_Traunstein,-9.2415771484375,LFD,year,days_with_air_temperature_below_threshold,days,7
09190_Weilheim-Schongau,-9.954751968383789,LFD,year,days_with_air_temperature_below_threshold,days,7
09261_Landshut,-8.645793914794922,LFD,year,days_with_air_temperature_below_threshold,days,7
09262_Passau,-8.220235824584961,LFD,year,days_with_air_temperature_below_threshold,days,7
09263_Straubing,-8.24343490600586,LFD,year,days_with_air_temperature_below_threshold,days,7
09271_Deggendorf,-8.1236572265625,LFD,year,days_with_air_temperature_below_threshold,days,7
09272_Freyung-Grafenau,-8.891654968261719,LFD,year,days_with_air_temperature_below_threshold,days,7
09273_Kelheim,-8.168888092041016,LFD,year,days_with_air_temperature_below_threshold,days,7
09274_Landshut,-8.825674057006836,LFD,year,days_with_air_temperature_below_threshold,days,7
09275_Passau,-8.371362686157227,LFD,year,days_with_air_temperature_below_threshold,days,7
09276_Regen,-9.79527473449707,LFD,year,days_with_air_temperature_below_threshold,days,7
09277_Rottal-Inn,-8.369386672973633,LFD,year,days_with_air_temperature_below_threshold,days,7
09278_Straubing-Bogen,-8.577383041381836,LFD,year,days_with_air_temperature_below_threshold,days,7
09279_Dingolfing-Landau,-8.554845809936523,LFD,year,days_with_air_temperature_below_threshold,days,7
09361_Amberg,-8.452291488647461,LFD,year,days_with_air_temperature_below_threshold,days,7
09362_Regensburg,-8.49657154083252,LFD,year,days_with_air_temperature_below_threshold,days,7
09363_Weiden i.d. OPf.,-8.26776123046875,LFD,year,days_with_air_temperature_below_threshold,days,7
09371_Amberg-Sulzbach,-8.461172103881836,LFD,year,days_with_air_temperature_below_threshold,days,7
09372_Cham,-8.77279281616211,LFD,year,days_with_air_temperature_below_threshold,days,7
09373_Neumarkt i.d. OPf.,-8.081789016723633,LFD,year,days_with_air_temperature_below_threshold,days,7
09374_Neustadt a.d. Waldnaab,-8.567584991455078,LFD,year,days_with_air_temperature_below_threshold,days,7
