region,DSf_year_1.5C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
12061_Dahme-Spreewald,-1.826146125793457,DSf,year,dry_spell_frequency,,7
12062_Elbe-Elster,-1.7299213409423828,DSf,year,dry_spell_frequency,,7
12063_Havelland,-1.879633903503418,DSf,year,dry_spell_frequency,,7
12064_Märkisch-Oderland,-1.5837469100952148,DSf,year,dry_spell_frequency,,7
12065_Oberhavel,-1.7195720672607422,DSf,year,dry_spell_frequency,,7
12066_Oberspreewald-Lausitz,-1.8803739547729492,DSf,year,dry_spell_frequency,,7
12067_Oder-Spree,-1.6299047470092773,DSf,year,dry_spell_frequency,,7
12068_Ostprignitz-Ruppin,-1.703503131866455,DSf,year,dry_spell_frequency,,7
12069_Potsdam-Mittelmark,-1.665522575378418,DSf,year,dry_spell_frequency,,7
12070_Prignitz,-1.5153632164001465,DSf,year,dry_spell_frequency,,7
