region,ci_name,ci_frequency,standard_name,units,mid_month,DSf_year_1.5C_rcp85_ensemble-robustness
14511_Chemnitz,DSf,year,dry_spell_frequency,,7,
14522_Mittelsachsen,DSf,year,dry_spell_frequency,,7,
14523_Vogtlandkreis,DSf,year,dry_spell_frequency,,7,
14521_Erzgebirgskreis,DSf,year,dry_spell_frequency,,7,
14524_Zwickau,DSf,year,dry_spell_frequency,,7,
14612_Dresden,DSf,year,dry_spell_frequency,,7,
14626_Görlitz,DSf,year,dry_spell_frequency,,7,
14625_Bautzen,DSf,year,dry_spell_frequency,,7,
14627_Meißen,DSf,year,dry_spell_frequency,,7,
14628_Sächsische Schweiz-Osterzgebirge,DSf,year,dry_spell_frequency,,7,
14713_Leipzig,DSf,year,dry_spell_frequency,,7,
14729_Leipzig,DSf,year,dry_spell_frequency,,7,
14730_Nordsachsen,DSf,year,dry_spell_frequency,,7,
15001_Dessau-Roßlau,DSf,year,dry_spell_frequency,,7,
15082_Anhalt-Bitterfeld,DSf,year,dry_spell_frequency,,7,
15091_Wittenberg,DSf,year,dry_spell_frequency,,7,
15002_Halle (Saale),DSf,year,dry_spell_frequency,,7,
15084_Burgenlandkreis,DSf,year,dry_spell_frequency,,7,
15088_Saalekreis,DSf,year,dry_spell_frequency,,7,
15087_Mansfeld-Südharz,DSf,year,dry_spell_frequency,,7,
15003_Magdeburg,DSf,year,dry_spell_frequency,,7,
15085_Harz,DSf,year,dry_spell_frequency,,7,
15086_Jerichower Land,DSf,year,dry_spell_frequency,,7,
15083_Börde,DSf,year,dry_spell_frequency,,7,
15090_Stendal,DSf,year,dry_spell_frequency,,7,
15089_Salzlandkreis,DSf,year,dry_spell_frequency,,7,-1.0
15081_Altmarkkreis Salzwedel,DSf,year,dry_spell_frequency,,7,
16051_Erfurt,DSf,year,dry_spell_frequency,,7,
16052_Gera,DSf,year,dry_spell_frequency,,7,
16053_Jena,DSf,year,dry_spell_frequency,,7,
16054_Suhl,DSf,year,dry_spell_frequency,,7,1.0
16055_Weimar,DSf,year,dry_spell_frequency,,7,
16056_Eisenach,DSf,year,dry_spell_frequency,,7,
