region,DSf_year_2C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
12066_Oberspreewald-Lausitz,-0.49384382,DSf,year,dry_spell_frequency,,7
12067_Oder-Spree,-0.45624414,DSf,year,dry_spell_frequency,,7
12068_Ostprignitz-Ruppin,-0.3174128,DSf,year,dry_spell_frequency,,7
12069_Potsdam-Mittelmark,-0.48463607,DSf,year,dry_spell_frequency,,7
12070_Prignitz,-0.28931862,DSf,year,dry_spell_frequency,,7
12071_Spree-Neiße,-0.51545507,DSf,year,dry_spell_frequency,,7
12072_Teltow-Fläming,-0.5047338,DSf,year,dry_spell_frequency,,7
12073_Uckermark,-0.33182943,DSf,year,dry_spell_frequency,,7
13003_Rostock,-0.27593115,DSf,year,dry_spell_frequency,,7
13004_Schwerin,-0.16178715,DSf,year,dry_spell_frequency,,7
13072_Rostock,-0.2860599,DSf,year,dry_spell_frequency,,7
13076_Ludwigslust-Parchim,-0.22662354,DSf,year,dry_spell_frequency,,7
13071_Mecklenburgische Seenplatte,-0.3188186,DSf,year,dry_spell_frequency,,7
13073_Vorpommern-Rügen,-0.27506983,DSf,year,dry_spell_frequency,,7
13074_Nordwestmecklenburg,-0.24457794,DSf,year,dry_spell_frequency,,7
13075_Vorpommern-Greifswald,-0.29259247,DSf,year,dry_spell_frequency,,7
14511_Chemnitz,-0.39393142,DSf,year,dry_spell_frequency,,7
14522_Mittelsachsen,-0.41350135,DSf,year,dry_spell_frequency,,7
14523_Vogtlandkreis,-0.33151525,DSf,year,dry_spell_frequency,,7
14521_Erzgebirgskreis,-0.28907037,DSf,year,dry_spell_frequency,,7
14524_Zwickau,-0.40861762,DSf,year,dry_spell_frequency,,7
14612_Dresden,-0.4996523,DSf,year,dry_spell_frequency,,7
14626_Görlitz,-0.46018648,DSf,year,dry_spell_frequency,,7
14625_Bautzen,-0.4539123,DSf,year,dry_spell_frequency,,7
14627_Meißen,-0.46828327,DSf,year,dry_spell_frequency,,7
14628_Sächsische Schweiz-Osterzgebirge,-0.44035938,DSf,year,dry_spell_frequency,,7
14713_Leipzig,-0.56394905,DSf,year,dry_spell_frequency,,7
14729_Leipzig,-0.50739604,DSf,year,dry_spell_frequency,,7
14730_Nordsachsen,-0.50927067,DSf,year,dry_spell_frequency,,7
15001_Dessau-Roßlau,-0.50273424,DSf,year,dry_spell_frequency,,7
15082_Anhalt-Bitterfeld,-0.518118,DSf,year,dry_spell_frequency,,7
15091_Wittenberg,-0.4984591,DSf,year,dry_spell_frequency,,7
