region,HSx3_year_1.5C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
07319_Worms,0.06223106384277344,HSx3,year,hot_spell_duration,days,7
07320_07340_10045_07317_Region_um_Zweibrücken,-0.23471534252166748,HSx3,year,hot_spell_duration,days,7
07320_Zweibrücken,-0.5243721008300781,HSx3,year,hot_spell_duration,days,7
07331_Alzey-Worms,0.0386505126953125,HSx3,year,hot_spell_duration,days,7
07332_Bad Dürkheim,0.09299410134553909,HSx3,year,hot_spell_duration,days,7
07333_Donnersbergkreis,-0.20618760585784912,HSx3,year,hot_spell_duration,days,7
07334_Germersheim,0.13422012329101562,HSx3,year,hot_spell_duration,days,7
07335_Kaiserslautern,-0.19569242000579834,HSx3,year,hot_spell_duration,days,7
07336_Kusel,-0.2876356840133667,HSx3,year,hot_spell_duration,days,7
07337_Südliche Weinstraße,0.1691262423992157,HSx3,year,hot_spell_duration,days,7
07338_07311_07318_07314_08222_08226_08215_07334_07337_07313_07316_07332_07319_08221_08212_Region_um_Rhein-Pfalz-Kreis,0.12784171104431152,HSx3,year,hot_spell_duration,days,7
07338_Rhein-Pfalz-Kreis,0.07114648818969727,HSx3,year,hot_spell_duration,days,7
07339_Mainz-Bingen,0.034633636474609375,HSx3,year,hot_spell_duration,days,7
07340_Südwestpfalz,-0.20505273342132568,HSx3,year,hot_spell_duration,days,7
08111_08115_08116_08118_08119_Region_um_Stuttgart,0.20311783254146576,HSx3,year,hot_spell_duration,days,7
08111_Stuttgart,0.2155342996120453,HSx3,year,hot_spell_duration,days,7
08115_Böblingen,0.16333986818790436,HSx3,year,hot_spell_duration,days,7
08116_Esslingen,0.13962125778198242,HSx3,year,hot_spell_duration,days,7
08117_Göppingen,0.05612841621041298,HSx3,year,hot_spell_duration,days,7
08118_Ludwigsburg,0.22514772415161133,HSx3,year,hot_spell_duration,days,7
08119_Rems-Murr-Kreis,0.19855502247810364,HSx3,year,hot_spell_duration,days,7
