region,HSx3_year_2C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
07140_Rhein-Hunsrück-Kreis,0.9634941816329956,HSx3,year,hot_spell_duration,days,7
07141_Rhein-Lahn-Kreis,1.142207384109497,HSx3,year,hot_spell_duration,days,7
07143_Westerwaldkreis,0.9034793376922607,HSx3,year,hot_spell_duration,days,7
07211_07235_Region_um_Trier,1.186892032623291,HSx3,year,hot_spell_duration,days,7
07211_Trier,1.273696780204773,HSx3,year,hot_spell_duration,days,7
07231_Bernkastel-Wittlich,1.151131272315979,HSx3,year,hot_spell_duration,days,7
07232_Eifelkreis Bitburg-Prüm,0.9705416560173035,HSx3,year,hot_spell_duration,days,7
07233_Vulkaneifel,0.8579393625259399,HSx3,year,hot_spell_duration,days,7
07235_Trier-Saarburg,1.202871322631836,HSx3,year,hot_spell_duration,days,7
07311_07318_07314_07338_08222_Region_um_Frankenthal_(Pfalz),2.3979835510253906,HSx3,year,hot_spell_duration,days,7
07311_Frankenthal (Pfalz),2.2644500732421875,HSx3,year,hot_spell_duration,days,7
07312_07335_07332_Region_um_Kaiserslautern,1.5070141553878784,HSx3,year,hot_spell_duration,days,7
07312_Kaiserslautern,1.5865912437438965,HSx3,year,hot_spell_duration,days,7
07313_07337_Region_um_Landau_in_der_Pfalz,1.802870750427246,HSx3,year,hot_spell_duration,days,7
07313_Landau in der Pfalz,1.7314929962158203,HSx3,year,hot_spell_duration,days,7
07314_07311_07338_08222_Region_um_Ludwigshafen_am_Rhein,2.4014902114868164,HSx3,year,hot_spell_duration,days,7
07314_Ludwigshafen am Rhein,2.3511343002319336,HSx3,year,hot_spell_duration,days,7
07315_07339_06414_06433_Region_um_Mainz,1.63066565990448,HSx3,year,hot_spell_duration,days,7
07315_Mainz,1.789820671081543,HSx3,year,hot_spell_duration,days,7
07316_07337_07332_07313_Region_um_Neustadt_an_der_Weinstraße,1.8035931587219238,HSx3,year,hot_spell_duration,days,7
07316_Neustadt an der Weinstraße,1.864159107208252,HSx3,year,hot_spell_duration,days,7
07317_07340_Region_um_Pirmasens,1.5440263748168945,HSx3,year,hot_spell_duration,days,7
07317_Pirmasens,1.4780231714248657,HSx3,year,hot_spell_duration,days,7
07318_07311_07314_07338_08215_08226_08212_Region_um_Speyer,1.8313102722167969,HSx3,year,hot_spell_duration,days,7
07318_Speyer,2.3469552993774414,HSx3,year,hot_spell_duration,days,7
07319_07331_07332_06431_07338_07311_07318_07314_Region_um_Worms,1.7640118598937988,HSx3,year,hot_spell_duration,days,7
07319_Worms,1.9611482620239258,HSx3,year,hot_spell_duration,days,7
07320_07340_10045_07317_Region_um_Zweibrücken,1.5218634605407715,HSx3,year,hot_spell_duration,days,7
07320_Zweibrücken,1.4730461835861206,HSx3,year,hot_spell_duration,days,7
07331_Alzey-Worms,1.6385588645935059,HSx3,year,hot_spell_duration,days,7
07332_Bad Dürkheim,1.7371978759765625,HSx3,year,hot_spell_duration,days,7
07333_Donnersbergkreis,1.4973745346069336,HSx3,year,hot_spell_duration,days,7
07334_Germersheim,1.9864742755889893,HSx3,year,hot_spell_duration,days,7
07335_Kaiserslautern,1.5709680318832397,HSx3,year,hot_spell_duration,days,7
07336_Kusel,1.5082886219024658,HSx3,year,hot_spell_duration,days,7
07337_Südliche Weinstraße,1.8130898475646973,HSx3,year,hot_spell_duration,days,7
07338_07311_07318_07314_08222_08226_08215_07334_07337_07313_07316_07332_07319_08221_08212_Region_um_Rhein-Pfalz-Kreis,1.8034472465515137,HSx3,year,hot_spell_duration,days,7
07338_Rhein-Pfalz-Kreis,2.328059196472168,HSx3,year,hot_spell_duration,days,7
07339_Mainz-Bingen,1.5655567646026611,HSx3,year,hot_spell_duration,days,7
07340_Südwestpfalz,1.535754680633545,HSx3,year,hot_spell_duration,days,7
08111_08115_08116_08118_08119_Region_um_Stuttgart,1.7026677131652832,HSx3,year,hot_spell_duration,days,7
08111_Stuttgart,1.7005054950714111,HSx3,year,hot_spell_duration,days,7
08115_Böblingen,1.6719346046447754,HSx3,year,hot_spell_duration,days,7
08116_Esslingen,1.6444001197814941,HSx3,year,hot_spell_duration,days,7
08117_Göppingen,1.0826416015625,HSx3,year,hot_spell_duration,days,7
08118_Ludwigsburg,1.6359798908233643,HSx3,year,hot_spell_duration,days,7
08119_Rems-Murr-Kreis,1.6774934530258179,HSx3,year,hot_spell_duration,days,7
08121_08125_Region_um_Heilbronn,1.640073537826538,HSx3,year,hot_spell_duration,days,7
08121_Heilbronn,1.8628759384155273,HSx3,year,hot_spell_duration,days,7
08125_Heilbronn,1.6245160102844238,HSx3,year,hot_spell_duration,days,7
08126_Hohenlohekreis,1.7684826850891113,HSx3,year,hot_spell_duration,days,7
