region,ci_name,ci_frequency,standard_name,units,mid_month,HSx3_year_2C_rcp85_ensemble-robustness
09179_Fürstenfeldbruck,HSx3,year,hot_spell_duration,days,7,2
09180_Garmisch-Partenkirchen,HSx3,year,hot_spell_duration,days,7,2
09181_Landsberg am Lech,HSx3,year,hot_spell_duration,days,7,2
09182_Miesbach,HSx3,year,hot_spell_duration,days,7,2
09183_Mühldorf a. Inn,HSx3,year,hot_spell_duration,days,7,2
09184_München,HSx3,year,hot_spell_duration,days,7,2
09185_Neuburg-Schrobenhausen,HSx3,year,hot_spell_duration,days,7,2
09186_Pfaffenhofen a.d. Ilm,HSx3,year,hot_spell_duration,days,7,2
09187_Rosenheim,HSx3,year,hot_spell_duration,days,7,2
09188_Starnberg,HSx3,year,hot_spell_duration,days,7,2
09189_Traunstein,HSx3,year,hot_spell_duration,days,7,2
09190_Weilheim-Schongau,HSx3,year,hot_spell_duration,days,7,2
09261_09274_Region_um_Landshut,HSx3,year,hot_spell_duration,days,7,2
09261_Landshut,HSx3,year,hot_spell_duration,days,7,2
09262_09275_Region_um_Passau,HSx3,year,hot_spell_duration,days,7,2
09262_Passau,HSx3,year,hot_spell_duration,days,7,2
09263_09278_Region_um_Straubing,HSx3,year,hot_spell_duration,days,7,2
09263_Straubing,HSx3,year,hot_spell_duration,days,7,2
09271_Deggendorf,HSx3,year,hot_spell_duration,days,7,2
09272_Freyung-Grafenau,HSx3,year,hot_spell_duration,days,7,2
09273_Kelheim,HSx3,year,hot_spell_duration,days,7,2
09274_Landshut,HSx3,year,hot_spell_duration,days,7,2
09275_Passau,HSx3,year,hot_spell_duration,days,7,2
09276_Regen,HSx3,year,hot_spell_duration,days,7,2
09277_Rottal-Inn,HSx3,year,hot_spell_duration,days,7,2
09278_Straubing-Bogen,HSx3,year,hot_spell_duration,days,7,2
09279_Dingolfing-Landau,HSx3,year,hot_spell_duration,days,7,2
09361_09371_Region_um_Amberg,HSx3,year,hot_spell_duration,days,7,2
09361_Amberg,HSx3,year,hot_spell_duration,days,7,2
09362_09375_Region_um_Regensburg,HSx3,year,hot_spell_duration,days,7,2
09362_Regensburg,HSx3,year,hot_spell_duration,days,7,2
09363_09374_Region_um_Weiden_in_der_Oberpfalz,HSx3,year,hot_spell_duration,days,7,2
09363_Weiden i.d. OPf.,HSx3,year,hot_spell_duration,days,7,2
09371_Amberg-Sulzbach,HSx3,year,hot_spell_duration,days,7,2
