region,HSx3_year_2C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
07319_07331_07332_06431_07338_07311_07318_07314_Region_um_Worms,0.19147753715515137,HSx3,year,hot_spell_duration,days,7
07319_Worms,0.1493990421295166,HSx3,year,hot_spell_duration,days,7
07320_07340_10045_07317_Region_um_Zweibrücken,-0.05551162362098694,HSx3,year,hot_spell_duration,days,7
07320_Zweibrücken,-0.08203169703483582,HSx3,year,hot_spell_duration,days,7
07331_Alzey-Worms,0.1914009153842926,HSx3,year,hot_spell_duration,days,7
07332_Bad Dürkheim,0.12311244010925293,HSx3,year,hot_spell_duration,days,7
07333_Donnersbergkreis,0.06398239731788635,HSx3,year,hot_spell_duration,days,7
07334_Germersheim,-0.1979527473449707,HSx3,year,hot_spell_duration,days,7
07335_Kaiserslautern,0.03641056269407272,HSx3,year,hot_spell_duration,days,7
07336_Kusel,0.005004905164241791,HSx3,year,hot_spell_duration,days,7
07337_Südliche Weinstraße,0.056124329566955566,HSx3,year,hot_spell_duration,days,7
07338_07311_07318_07314_08222_08226_08215_07334_07337_07313_07316_07332_07319_08221_08212_Region_um_Rhein-Pfalz-Kreis,0.04411303997039795,HSx3,year,hot_spell_duration,days,7
07338_Rhein-Pfalz-Kreis,-0.05098843574523926,HSx3,year,hot_spell_duration,days,7
07339_Mainz-Bingen,0.1570402830839157,HSx3,year,hot_spell_duration,days,7
07340_Südwestpfalz,-0.05867956578731537,HSx3,year,hot_spell_duration,days,7
08111_08115_08116_08118_08119_Region_um_Stuttgart,0.1072162315249443,HSx3,year,hot_spell_duration,days,7
08111_Stuttgart,0.1282227486371994,HSx3,year,hot_spell_duration,days,7
08115_Böblingen,0.0017720907926559448,HSx3,year,hot_spell_duration,days,7
08116_Esslingen,0.04494971036911011,HSx3,year,hot_spell_duration,days,7
08117_Göppingen,-0.02872214838862419,HSx3,year,hot_spell_duration,days,7
08118_Ludwigsburg,0.2750903367996216,HSx3,year,hot_spell_duration,days,7
08119_Rems-Murr-Kreis,-0.002574741840362549,HSx3,year,hot_spell_duration,days,7
08121_08125_Region_um_Heilbronn,0.13368308544158936,HSx3,year,hot_spell_duration,days,7
08121_Heilbronn,-0.21649420261383057,HSx3,year,hot_spell_duration,days,7
08125_Heilbronn,0.1678762435913086,HSx3,year,hot_spell_duration,days,7
08126_Hohenlohekreis,0.0,HSx3,year,hot_spell_duration,days,7
08127_Schwäbisch Hall,0.0,HSx3,year,hot_spell_duration,days,7
08128_Main-Tauber-Kreis,0.0,HSx3,year,hot_spell_duration,days,7
08135_Heidenheim,0.0,HSx3,year,hot_spell_duration,days,7
08136_Ostalbkreis,-0.0023382501676678658,HSx3,year,hot_spell_duration,days,7
08211_08216_Region_um_Baden-Baden,0.026643142104148865,HSx3,year,hot_spell_duration,days,7
08211_Baden-Baden,-0.0237770676612854,HSx3,year,hot_spell_duration,days,7
08212_08215_07334_Region_um_Karlsruhe,-0.09098052978515625,HSx3,year,hot_spell_duration,days,7
08212_Karlsruhe,-0.2705659866333008,HSx3,year,hot_spell_duration,days,7
08215_Karlsruhe,-0.016311049461364746,HSx3,year,hot_spell_duration,days,7
08216_Rastatt,0.03606829047203064,HSx3,year,hot_spell_duration,days,7
08221_08226_08222_Region_um_Heidelberg,0.15267956256866455,HSx3,year,hot_spell_duration,days,7
08221_Heidelberg,0.13178908824920654,HSx3,year,hot_spell_duration,days,7
08222_08221_08226_06431_07338_07311_07318_07314_Region_um_Mannheim,0.13913369178771973,HSx3,year,hot_spell_duration,days,7
08222_Mannheim,-0.05718994140625,HSx3,year,hot_spell_duration,days,7
08225_Neckar-Odenwald-Kreis,0.017851324751973152,HSx3,year,hot_spell_duration,days,7
