realization,region,RRm_year_ref_time-mean,ci_name,ci_frequency,standard_name,units,mid_month
nan_GERICS_nan_nan_nan_nan_year_RRm,06534_Marburg-Biedenkopf,2.0280328,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,06535_Vogelsbergkreis,2.2409806,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,06611_06633_03159_Region_um_Kassel,2.1124105,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,06611_Kassel,1.8323929,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,06631_Fulda,2.179853,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,06632_Hersfeld-Rotenburg,1.9280351,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,06633_Kassel,1.9398409,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,06634_Schwalm-Eder-Kreis,1.8197845,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,06635_Waldeck-Frankenberg,2.0146112,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,06636_Werra-Meißner-Kreis,2.0644507,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,07111_07137_07141_07143_Region_um_Koblenz,2.1542962,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,07111_Koblenz,1.8249751,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,07131_Ahrweiler,1.912534,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,07132_Altenkirchen (Westerwald),2.7689667,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,07133_Bad Kreuznach,1.6774094,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,07134_Birkenfeld,2.354484,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,07135_Cochem-Zell,2.0102775,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,07137_Mayen-Koblenz,1.7982208,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,07138_Neuwied,2.2349448,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,07140_Rhein-Hunsrück-Kreis,1.9173493,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,07141_Rhein-Lahn-Kreis,1.9163563,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,07143_Westerwaldkreis,2.6709752,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,07211_07235_Region_um_Trier,2.3825002,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,07211_Trier,2.1035678,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,07231_Bernkastel-Wittlich,2.1958892,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,07232_Eifelkreis Bitburg-Prüm,2.474026,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,07233_Vulkaneifel,2.4098637,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,07235_Trier-Saarburg,2.41402,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,07311_07318_07314_07338_08222_Region_um_Frankenthal_(Pfalz),1.5885727,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,07311_Frankenthal (Pfalz),1.4593568,RRm,year,precipitation,mm day-1,7
nan_GERICS_nan_nan_nan_nan_year_RRm,07312_07335_07332_Region_um_Kaiserslautern,1.9751068,RRm,year,precipitation,mm day-1,7
