region,SU30_year_1.5C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
09177_Erding,3.512119770050049,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09178_Freising,3.6373043060302734,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09179_Fürstenfeldbruck,3.0413475036621094,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09180_Garmisch-Partenkirchen,0.49672240018844604,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09181_Landsberg am Lech,2.128338098526001,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09182_Miesbach,0.9330856800079346,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09183_Mühldorf a. Inn,3.5709242820739746,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09184_München,3.1176419258117676,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09185_Neuburg-Schrobenhausen,3.6145544052124023,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09186_Pfaffenhofen a.d. Ilm,3.535733699798584,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09187_Rosenheim,2.6202991008758545,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09188_Starnberg,2.2470250129699707,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09189_Traunstein,2.1623051166534424,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09190_Weilheim-Schongau,1.7198454141616821,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09261_Landshut,3.0997118949890137,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09262_Passau,4.166433334350586,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09263_Straubing,3.723867893218994,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09271_Deggendorf,3.7428112030029297,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09272_Freyung-Grafenau,1.5943589210510254,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09273_Kelheim,3.294483184814453,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09274_Landshut,3.28224515914917,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09275_Passau,3.657947540283203,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09276_Regen,1.5106066465377808,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09277_Rottal-Inn,3.669497489929199,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09278_Straubing-Bogen,3.274667263031006,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09279_Dingolfing-Landau,3.566098213195801,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09361_Amberg,2.6084377765655518,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09362_Regensburg,4.078003883361816,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09363_Weiden i.d. OPf.,2.3229525089263916,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09371_Amberg-Sulzbach,2.359713315963745,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09372_Cham,2.321542263031006,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09373_Neumarkt i.d. OPf.,2.3188438415527344,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09374_Neustadt a.d. Waldnaab,2.0057454109191895,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09375_Regensburg,3.2284746170043945,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09376_Schwandorf,2.7289066314697266,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09377_Tirschenreuth,1.3736814260482788,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09461_Bamberg,2.7560577392578125,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
