region,SU30_year_3C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
09190_Weilheim-Schongau,20.47245979309082,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09261_Landshut,34.36249923706055,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09262_Passau,38.24551010131836,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09263_Straubing,36.810943603515625,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09271_Deggendorf,35.57810592651367,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09272_Freyung-Grafenau,22.013076782226562,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09273_Kelheim,34.61899185180664,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09274_Landshut,34.06239318847656,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09275_Passau,36.223209381103516,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09276_Regen,21.88485336303711,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09277_Rottal-Inn,34.78137969970703,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09278_Straubing-Bogen,35.11214828491211,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09279_Dingolfing-Landau,36.424560546875,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09361_Amberg,31.52663803100586,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09362_Regensburg,36.002262115478516,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09363_Weiden i.d. OPf.,29.469635009765625,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09371_Amberg-Sulzbach,30.89150047302246,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09372_Cham,29.440773010253906,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09373_Neumarkt i.d. OPf.,30.879512786865234,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09374_Neustadt a.d. Waldnaab,28.331249237060547,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09375_Regensburg,34.87363052368164,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09376_Schwandorf,32.073028564453125,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09377_Tirschenreuth,25.21689796447754,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09461_Bamberg,32.80016326904297,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09462_Bayreuth,29.304222106933594,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09463_Coburg,31.407615661621094,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09464_Hof,23.25646209716797,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09471_Bamberg,32.27735137939453,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
