region,SU30_year_1.5C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
08115_Böblingen,0.2100413739681244,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08116_Esslingen,0.27379512786865234,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08117_Göppingen,0.20272274315357208,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08118_Ludwigsburg,0.4492835998535156,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08119_Rems-Murr-Kreis,0.31635940074920654,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08121_Heilbronn,0.5461705923080444,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08125_Heilbronn,0.388022780418396,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08126_Hohenlohekreis,0.1997961699962616,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08127_Schwäbisch Hall,0.15488460659980774,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08128_Main-Tauber-Kreis,0.13772061467170715,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08135_Heidenheim,0.01875138282775879,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08136_Ostalbkreis,0.1340053379535675,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08211_Baden-Baden,0.17006328701972961,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08212_Karlsruhe,0.4172819256782532,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08215_Karlsruhe,0.35804831981658936,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08216_Rastatt,0.22399428486824036,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08221_Heidelberg,0.2788484990596771,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08222_Mannheim,0.43254491686820984,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08225_Neckar-Odenwald-Kreis,0.15265610814094543,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08226_Rhein-Neckar-Kreis,0.3250943720340729,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08231_Pforzheim,0.15683454275131226,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08235_Calw,0.059234023094177246,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08236_Enzkreis,0.19643686711788177,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
