region,DD_sem_4C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
08315_Breisgau-Hochschwarzwald,-0.3338986,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08316_Emmendingen,-0.659651,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08317_Ortenaukreis,-0.4760418,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08325_Rottweil,-1.034805,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08326_Schwarzwald-Baar-Kreis,-0.9025948,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08327_Tuttlingen,-0.9432887,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08335_Konstanz,-1.2166283,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08336_Lörrach,-0.04438962,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08337_Waldshut,-0.45863098,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08415_Reutlingen,-0.8662281,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08416_Tübingen,-1.5453304,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08417_Zollernalbkreis,-0.92954445,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08421_Ulm,-1.6844411,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08425_Alb-Donau-Kreis,-1.2807019,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08426_Biberach,-1.1775414,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08435_Bodenseekreis,-0.4363376,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08436_Ravensburg,-0.1732546,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08437_Sigmaringen,-0.9713046,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09161_Ingolstadt,-1.2392508,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09162_München,-1.0335855,DD,sem,days_with_precipitation_amount_below_threshold,days,1
