region,DD_sem_3C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
09462_Bayreuth,4.402332305908203,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09463_Coburg,3.537555694580078,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09464_Hof,4.879306793212891,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09471_Bamberg,3.675067901611328,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09472_Bayreuth,4.5111541748046875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09473_Coburg,3.902935028076172,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09474_Forchheim,4.111328125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09475_Hof,5.326801300048828,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09476_Kronach,4.956024169921875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09477_Kulmbach,4.5832061767578125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09478_Lichtenfels,4.207561492919922,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09479_Wunsiedel i. Fichtelgebirge,5.596416473388672,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09561_Ansbach,4.749050140380859,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09562_Erlangen,3.572223663330078,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09563_Fürth,2.8898162841796875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09564_Nürnberg,2.6148452758789062,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09565_Schwabach,2.8238906860351562,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09571_Ansbach,4.093929290771484,DD,sem,days_with_precipitation_amount_below_threshold,days,1
