region,DD_sem_3C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
08315_Breisgau-Hochschwarzwald,-1.3170356750488281,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08316_Emmendingen,-1.549957275390625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08317_Ortenaukreis,-1.7064361572265625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08325_Rottweil,-1.9706382751464844,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08326_Schwarzwald-Baar-Kreis,-1.9088363647460938,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08327_Tuttlingen,-2.0100173950195312,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08335_Konstanz,-1.8944282531738281,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08336_Lörrach,-1.2020988464355469,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08337_Waldshut,-1.411834716796875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08415_Reutlingen,-1.8090476989746094,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08416_Tübingen,-2.1376914978027344,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08417_Zollernalbkreis,-1.9328651428222656,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08421_Ulm,-2.178600311279297,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08425_Alb-Donau-Kreis,-1.8978157043457031,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08426_Biberach,-2.0865135192871094,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08435_Bodenseekreis,-1.630584716796875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08436_Ravensburg,-1.3591842651367188,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08437_Sigmaringen,-1.7653656005859375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09161_Ingolstadt,-2.232208251953125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09162_München,-2.2182388305664062,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09163_Rosenheim,-2.354736328125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09171_Altötting,-2.0560760498046875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09172_Berchtesgadener Land,-1.6423797607421875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09173_Bad Tölz-Wolfratshausen,-2.129589080810547,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09174_Dachau,-2.249828338623047,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09175_Ebersberg,-1.81695556640625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09176_Eichstätt,-2.185344696044922,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09177_Erding,-1.9904251098632812,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09178_Freising,-2.2051734924316406,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09179_Fürstenfeldbruck,-2.3404464721679688,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09180_Garmisch-Partenkirchen,-1.742034912109375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09181_Landsberg am Lech,-2.3380355834960938,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09182_Miesbach,-1.9392051696777344,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09183_Mühldorf a. Inn,-2.0564918518066406,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09184_München,-1.8745002746582031,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09185_Neuburg-Schrobenhausen,-2.2932815551757812,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09186_Pfaffenhofen a.d. Ilm,-2.2461776733398438,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09187_Rosenheim,-1.8346328735351562,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09188_Starnberg,-2.3692970275878906,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09189_Traunstein,-1.8226737976074219,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09190_Weilheim-Schongau,-2.1759796142578125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09261_Landshut,-2.33038330078125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09262_Passau,-1.7745437622070312,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09263_Straubing,-2.29437255859375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09271_Deggendorf,-2.1090240478515625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09272_Freyung-Grafenau,-1.7306747436523438,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09273_Kelheim,-2.3976898193359375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09274_Landshut,-2.343669891357422,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09275_Passau,-1.70147705078125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09276_Regen,-1.7131729125976562,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09277_Rottal-Inn,-2.030853271484375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09278_Straubing-Bogen,-2.246532440185547,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09279_Dingolfing-Landau,-2.047954559326172,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09361_Amberg,-1.7333335876464844,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09362_Regensburg,-2.3726539611816406,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09363_Weiden i.d. OPf.,-1.4830856323242188,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09371_Amberg-Sulzbach,-1.5874443054199219,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09372_Cham,-1.9223403930664062,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09373_Neumarkt i.d. OPf.,-2.043548583984375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09374_Neustadt a.d. Waldnaab,-1.5410919189453125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09375_Regensburg,-2.225147247314453,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09376_Schwandorf,-2.020519256591797,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09377_Tirschenreuth,-1.34716796875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09461_Bamberg,-1.6787261962890625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09462_Bayreuth,-1.6560478210449219,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09463_Coburg,-1.485992431640625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09464_Hof,-1.7603645324707031,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09471_Bamberg,-1.6371421813964844,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09472_Bayreuth,-1.5231513977050781,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09473_Coburg,-1.4065475463867188,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09474_Forchheim,-1.2727813720703125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
